# metadata_json,"{""task"":""analyze_sky_vs_50ohm"",""timestamp_utc"":""2026-06-17T00:52:42.520648+00:00"",""product"":""stitched_sky_over_50ohm"",""ratio"":""sky_psd_linear_per_hz / calibration_psd_linear_per_hz"",""stitch_method"":""mean ratio in uniform frequency bins"",""stitched_bin_width_hz"":5000.0,""center_freqs_hz"":[1418805800,1419605800,1420405800,1421205800,1422005800],""sky_data_dir"":""../data/commiss_21cm_data_061626_2"",""calibration_data_dir"":""../data/commiss_50ohm_data_061626_2"",""sky_scan_count"":100,""calibration_scan_count"":100}"
frequency_hz,frequency_mhz,sky_over_50ohm,n_points_averaged
1418083539.062,1418.083539062,1.517492061337e+00,9
1418088519.531,1418.088519531,1.586741437994e+00,8
1418093500.000,1418.093500000,1.529671217787e+00,9
1418098480.469,1418.098480469,1.537260103244e+00,8
1418103460.938,1418.103460938,1.657414043481e+00,9
1418108441.406,1418.108441406,1.551026891457e+00,8
1418113421.875,1418.113421875,1.537465911937e+00,9
1418118402.344,1418.118402344,1.675184594596e+00,8
1418123382.812,1418.123382812,1.582710309529e+00,9
1418128363.281,1418.128363281,1.526962930304e+00,8
1418133343.750,1418.133343750,1.649997542346e+00,9
1418138617.188,1418.138617188,1.547372225591e+00,9
1418143597.656,1418.143597656,1.530108246850e+00,8
1418148578.125,1418.148578125,1.659960871108e+00,9
1418153558.594,1418.153558594,1.553943194024e+00,8
1418158539.062,1418.158539062,1.530335803895e+00,9
1418163519.531,1418.163519531,1.677860652557e+00,8
1418168500.000,1418.168500000,1.562936627747e+00,9
1418173480.469,1418.173480469,1.508233137060e+00,8
1418178460.938,1418.178460938,1.594245801062e+00,9
1418183441.406,1418.183441406,1.518577373449e+00,8
1418188421.875,1418.188421875,1.531723454808e+00,9
1418193402.344,1418.193402344,1.653334717475e+00,8
1418198382.812,1418.198382812,1.548679772046e+00,9
1418203363.281,1418.203363281,1.530238814312e+00,8
1418208343.750,1418.208343750,1.626772959504e+00,9
1418213617.188,1418.213617188,1.604328645602e+00,9
1418218597.656,1418.218597656,1.538359762809e+00,8
1418223578.125,1418.223578125,1.639276760756e+00,9
1418228558.594,1418.228558594,1.548534778518e+00,8
1418233539.062,1418.233539062,1.566148085859e+00,9
1418238519.531,1418.238519531,1.644812847554e+00,8
1418243500.000,1418.243500000,1.601149400976e+00,9
1418248480.469,1418.248480469,1.522093296073e+00,8
1418253460.938,1418.253460938,1.616868996826e+00,9
1418258441.406,1418.258441406,1.588820562495e+00,8
1418263421.875,1418.263421875,1.500390723371e+00,9
1418268402.344,1418.268402344,1.575365377839e+00,8
1418273382.812,1418.273382812,1.519032054859e+00,9
1418278363.281,1418.278363281,1.540947104979e+00,8
1418283343.750,1418.283343750,1.689574661816e+00,9
1418288617.188,1418.288617188,1.579761112490e+00,9
1418293597.656,1418.293597656,1.545843799763e+00,8
1418298578.125,1418.298578125,1.627950932935e+00,9
1418303558.594,1418.303558594,1.553415446270e+00,8
1418308539.062,1418.308539062,1.547583157257e+00,9
1418313519.531,1418.313519531,1.643523404952e+00,8
1418318500.000,1418.318500000,1.561816505467e+00,9
1418323480.469,1418.323480469,1.538712496790e+00,8
1418328460.938,1418.328460938,1.680080892644e+00,9
1418333441.406,1418.333441406,1.612886652419e+00,8
1418338421.875,1418.338421875,1.550849206771e+00,9
1418343402.344,1418.343402344,1.620154420051e+00,8
1418348382.812,1418.348382812,1.559786229387e+00,9
1418353363.281,1418.353363281,1.523207536000e+00,8
1418358343.750,1418.358343750,1.586552793426e+00,9
1418363617.188,1418.363617188,1.511212549052e+00,9
1418368597.656,1418.368597656,1.503288439315e+00,8
1418373578.125,1418.373578125,1.655496450479e+00,9
1418378558.594,1418.378558594,1.576567262593e+00,8
1418383539.062,1418.383539062,1.528652168748e+00,9
1418388519.531,1418.388519531,1.607242237077e+00,8
1418393500.000,1418.393500000,1.567001559439e+00,9
1418398480.469,1418.398480469,1.511978422698e+00,8
1418403460.938,1418.403460938,1.640766457842e+00,9
1418408389.706,1418.408389706,1.707630044905e+00,17
1418413519.531,1418.413519531,1.677244085907e+00,18
1418418500.000,1418.418500000,1.839419820473e+00,16
1418423480.469,1418.423480469,1.697995559652e+00,18
