# metadata_json,"{""task"":""take_21cm_data"",""timestamp_utc"":""2026-07-20T20:06:54.219745+00:00"",""target_name"":""galactic_plane"",""scan_index"":1,""scan_count"":20,""frequency_index"":4,""frequency_count"":5,""center_freq_hz"":1421205800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}}"
frequency_hz,frequency_mhz,psd_linear_per_hz
1420006000.000,1420.006000000,1.902269685610e-09
1420006585.938,1420.006585937,2.231937447850e-09
1420007171.875,1420.007171875,1.669970700465e-09
1420007757.812,1420.007757812,9.945559185248e-10
1420008343.750,1420.008343750,1.052020828168e-09
1420008929.688,1420.008929688,1.039756921146e-09
1420009515.625,1420.009515625,9.548435000938e-10
1420010101.562,1420.010101563,9.351698344753e-10
1420010687.500,1420.010687500,9.275182877723e-10
1420011273.438,1420.011273437,9.334164889068e-10
1420011859.375,1420.011859375,1.096995442635e-09
1420012445.312,1420.012445312,1.060219933593e-09
1420013031.250,1420.013031250,9.626866637336e-10
1420013617.188,1420.013617187,9.454133240504e-10
1420014203.125,1420.014203125,9.081745032124e-10
1420014789.062,1420.014789063,8.999680978837e-10
1420015375.000,1420.015375000,9.972840899052e-10
1420015960.938,1420.015960938,1.080612431016e-09
1420016546.875,1420.016546875,1.111153801601e-09
1420017132.812,1420.017132812,1.027104436790e-09
1420017718.750,1420.017718750,1.086097191131e-09
1420018304.688,1420.018304687,1.041073247697e-09
1420018890.625,1420.018890625,1.228593634744e-09
1420019476.562,1420.019476562,1.237118832135e-09
1420020062.500,1420.020062500,9.720370047279e-10
1420020648.438,1420.020648438,9.288633469098e-10
1420021234.375,1420.021234375,9.835365855999e-10
1420021820.312,1420.021820313,8.982418688565e-10
1420022406.250,1420.022406250,1.021155242705e-09
1420022992.188,1420.022992187,1.093937080159e-09
1420023578.125,1420.023578125,9.372809546643e-10
1420024164.062,1420.024164062,9.669893754177e-10
1420024750.000,1420.024750000,1.001621365429e-09
1420025335.938,1420.025335937,1.054012554212e-09
1420025921.875,1420.025921875,1.592398898780e-09
1420026507.812,1420.026507813,1.631109230197e-09
1420027093.750,1420.027093750,1.104953331097e-09
1420027679.688,1420.027679688,9.728080986617e-10
1420028265.625,1420.028265625,1.054821816912e-09
1420028851.562,1420.028851562,1.228610914335e-09
1420029437.500,1420.029437500,1.217162810729e-09
1420030023.438,1420.030023437,1.255155957221e-09
1420030609.375,1420.030609375,1.054535845694e-09
1420031195.312,1420.031195312,1.059606681309e-09
1420031781.250,1420.031781250,9.778909157313e-10
1420032367.188,1420.032367188,9.743735442551e-10
1420032953.125,1420.032953125,1.142699961183e-09
1420033539.062,1420.033539063,1.173335979986e-09
1420034125.000,1420.034125000,1.042781121393e-09
1420034710.938,1420.034710937,1.036804295482e-09
1420035296.875,1420.035296875,1.106078525905e-09
1420035882.812,1420.035882812,1.650347624690e-09
1420036468.750,1420.036468750,1.422040502610e-09
1420037054.688,1420.037054687,9.935097119857e-10
1420037640.625,1420.037640625,1.030322814847e-09
1420038226.562,1420.038226563,1.249794048105e-09
1420038812.500,1420.038812500,1.259269340588e-09
1420039398.438,1420.039398438,1.296120625065e-09
1420039984.375,1420.039984375,1.046975408089e-09
1420040570.312,1420.040570312,1.134546950633e-09
1420041156.250,1420.041156250,1.093241824652e-09
1420041742.188,1420.041742187,8.920031322318e-10
1420042328.125,1420.042328125,9.892247416904e-10
1420042914.062,1420.042914062,9.462460128129e-10
1420043500.000,1420.043500000,9.082580279041e-10
1420044085.938,1420.044085938,1.050367007932e-09
1420044671.875,1420.044671875,9.996703537058e-10
1420045257.812,1420.045257813,9.506819424087e-10
1420045843.750,1420.045843750,9.455538228980e-10
