# metadata_json,"{""task"":""take_21cm_data"",""timestamp_utc"":""2026-07-20T20:12:38.276670+00:00"",""target_name"":""galactic_plane"",""scan_index"":18,""scan_count"":20,""frequency_index"":2,""frequency_count"":5,""center_freq_hz"":1419605800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}}"
frequency_hz,frequency_mhz,psd_linear_per_hz
1418406000.000,1418.406000000,1.021141214547e-09
1418406585.938,1418.406585938,9.340217609032e-10
1418407171.875,1418.407171875,8.454945435772e-10
1418407757.812,1418.407757812,8.439438231984e-10
1418408343.750,1418.408343750,8.344819467618e-10
1418408929.688,1418.408929687,9.151146852217e-10
1418409515.625,1418.409515625,8.672473217844e-10
1418410101.562,1418.410101562,7.936826338513e-10
1418410687.500,1418.410687500,8.199212684746e-10
1418411273.438,1418.411273438,1.091544066641e-09
1418411859.375,1418.411859375,1.315018528885e-09
1418412445.312,1418.412445313,9.683972544010e-10
1418413031.250,1418.413031250,8.104224753221e-10
1418413617.188,1418.413617187,8.104393720451e-10
1418414203.125,1418.414203125,7.703791744709e-10
1418414789.062,1418.414789062,8.661987296990e-10
1418415375.000,1418.415375000,9.290198166046e-10
1418415960.938,1418.415960937,9.956610833391e-10
1418416546.875,1418.416546875,9.182957152465e-10
1418417132.812,1418.417132813,8.520196598632e-10
1418417718.750,1418.417718750,8.540423338750e-10
1418418304.688,1418.418304688,8.722032087175e-10
1418418890.625,1418.418890625,9.289919555294e-10
1418419476.562,1418.419476562,8.371475562142e-10
1418420062.500,1418.420062500,7.510901072838e-10
1418420648.438,1418.420648437,8.178336569141e-10
1418421234.375,1418.421234375,8.440303123629e-10
1418421820.312,1418.421820312,8.080861785235e-10
1418422406.250,1418.422406250,8.344555929161e-10
1418422992.188,1418.422992188,8.634070717623e-10
1418423578.125,1418.423578125,9.429660603458e-10
1418424164.062,1418.424164063,1.402463983733e-09
1418424750.000,1418.424750000,1.062673151586e-09
1418425335.938,1418.425335937,8.137836674590e-10
1418425921.875,1418.425921875,7.493870134388e-10
1418426507.812,1418.426507812,7.687487291749e-10
1418427093.750,1418.427093750,7.879070260074e-10
1418427679.688,1418.427679687,7.687741097223e-10
1418428265.625,1418.428265625,7.788124892516e-10
1418428851.562,1418.428851563,7.767303588413e-10
1418429437.500,1418.429437500,8.145332567629e-10
1418430023.438,1418.430023438,7.750070866913e-10
1418430609.375,1418.430609375,8.183613761483e-10
1418431195.312,1418.431195312,7.908200319035e-10
1418431781.250,1418.431781250,7.623350824889e-10
1418432367.188,1418.432367187,7.688795566114e-10
1418432953.125,1418.432953125,8.162885712968e-10
1418433539.062,1418.433539062,8.998363793837e-10
1418434125.000,1418.434125000,8.408534064575e-10
1418434710.938,1418.434710938,7.902880703962e-10
1418435296.875,1418.435296875,8.131630892114e-10
1418435882.812,1418.435882813,8.277094118932e-10
1418436468.750,1418.436468750,1.043008458812e-09
1418437054.688,1418.437054687,1.727645492340e-09
1418437640.625,1418.437640625,1.057341869458e-09
1418438226.562,1418.438226562,8.655805311290e-10
1418438812.500,1418.438812500,7.651804570043e-10
1418439398.438,1418.439398437,7.818258018368e-10
1418439984.375,1418.439984375,8.218122977631e-10
1418440570.312,1418.440570313,8.841552508374e-10
1418441156.250,1418.441156250,8.361817318503e-10
1418441742.188,1418.441742188,8.096426546491e-10
1418442328.125,1418.442328125,8.775493224789e-10
1418442914.062,1418.442914062,9.977766109772e-10
1418443500.000,1418.443500000,1.346902900377e-09
1418444085.938,1418.444085937,1.404242666287e-09
1418444671.875,1418.444671875,1.014210521390e-09
1418445257.812,1418.445257812,8.372699976904e-10
1418445843.750,1418.445843750,8.010629714843e-10
1418446429.688,1418.446429688,7.528417680769e-10
1418447015.625,1418.447015625,8.665426775407e-10
1418447601.562,1418.447601563,1.267349243793e-09
1418448187.500,1418.448187500,1.031455471790e-09
1418448773.438,1418.448773437,7.897914581608e-10
1418449359.375,1418.449359375,7.784387287174e-10
1418449945.312,1418.449945312,7.898909917855e-10
1418450531.250,1418.450531250,8.414512385906e-10
1418451117.188,1418.451117187,9.628293939156e-10
1418451703.125,1418.451703125,8.140521012462e-10
1418452289.062,1418.452289063,7.567167528615e-10
1418452875.000,1418.452875000,7.950800528258e-10
1418453460.938,1418.453460938,9.868679584513e-10
1418454046.875,1418.454046875,8.916378918057e-10
1418454632.812,1418.454632812,8.997452722842e-10
1418455218.750,1418.455218750,8.133783717539e-10
1418455804.688,1418.455804687,9.165887747393e-10
1418456390.625,1418.456390625,9.634971667515e-10
1418456976.562,1418.456976562,9.234094607946e-10
1418457562.500,1418.457562500,8.436366957111e-10
1418458148.438,1418.458148438,8.486976983344e-10
1418458734.375,1418.458734375,7.820533474224e-10
1418459320.312,1418.459320313,7.466571921292e-10
1418459906.250,1418.459906250,7.581869909942e-10
1418460492.188,1418.460492187,8.379292810935e-10
1418461078.125,1418.461078125,8.003471874244e-10
1418461664.062,1418.461664062,8.841481282421e-10
1418462250.000,1418.462250000,8.405750735640e-10
1418462835.938,1418.462835937,8.642379429635e-10
1418463421.875,1418.463421875,8.187877064393e-10
1418464007.812,1418.464007813,7.734266976039e-10
1418464593.750,1418.464593750,7.601841564523e-10
1418465179.688,1418.465179688,7.953311814898e-10
1418465765.625,1418.465765625,8.061832482656e-10
1418466351.562,1418.466351562,7.906137252035e-10
1418466937.500,1418.466937500,7.172655077458e-10
1418467523.438,1418.467523437,7.103100523625e-10
1418468109.375,1418.468109375,7.432685915162e-10
1418468695.312,1418.468695312,1.315662756929e-09
1418469281.250,1418.469281250,2.224532983144e-09
1418469867.188,1418.469867188,1.247891263165e-09
1418470453.125,1418.470453125,8.197067762547e-10
1418471039.062,1418.471039063,7.548645789321e-10
1418471625.000,1418.471625000,8.549275417651e-10
1418472210.938,1418.472210937,7.815031913975e-10
1418472796.875,1418.472796875,7.487912859942e-10
1418473382.812,1418.473382812,7.971795278321e-10
1418473968.750,1418.473968750,7.848964511471e-10
1418474554.688,1418.474554687,7.899975829432e-10
1418475140.625,1418.475140625,7.200565786880e-10
1418475726.562,1418.475726563,9.818550290561e-10
1418476312.500,1418.476312500,1.375629610539e-09
1418476898.438,1418.476898438,9.211507274654e-10
1418477484.375,1418.477484375,7.425658564318e-10
1418478070.312,1418.478070312,7.382693575362e-10
1418478656.250,1418.478656250,8.239939011353e-10
1418479242.188,1418.479242187,8.361304663711e-10
1418479828.125,1418.479828125,8.257508097112e-10
1418480414.062,1418.480414062,8.836077151036e-10
1418481000.000,1418.481000000,7.892352871305e-10
1418481585.938,1418.481585938,7.292519270235e-10
1418482171.875,1418.482171875,7.733900631158e-10
1418482757.812,1418.482757813,9.670047253650e-10
1418483343.750,1418.483343750,1.293151366326e-09
1418483929.688,1418.483929687,9.131857071159e-10
1418484515.625,1418.484515625,7.335392299559e-10
1418485101.562,1418.485101562,1.189881517770e-09
1418485687.500,1418.485687500,1.623174791446e-09
1418486273.438,1418.486273437,8.710316113200e-10
1418486859.375,1418.486859375,7.742521272016e-10
1418487445.312,1418.487445313,7.830639446888e-10
1418488031.250,1418.488031250,8.187256505169e-10
1418488617.188,1418.488617188,8.273989190506e-10
1418489203.125,1418.489203125,1.041557750806e-09
1418489789.062,1418.489789062,1.004187149899e-09
1418490375.000,1418.490375000,9.421519344663e-10
1418490960.938,1418.490960937,8.263981130755e-10
1418491546.875,1418.491546875,7.824015704774e-10
1418492132.812,1418.492132812,8.657095989171e-10
1418492718.750,1418.492718750,8.796884202299e-10
1418493304.688,1418.493304688,7.938588855014e-10
1418493890.625,1418.493890625,8.499560085057e-10
1418494476.562,1418.494476563,8.068818691778e-10
1418495062.500,1418.495062500,7.936011740548e-10
1418495648.438,1418.495648437,7.979422134186e-10
1418496234.375,1418.496234375,8.973211158307e-10
1418496820.312,1418.496820312,9.648015261793e-10
1418497406.250,1418.497406250,9.720160443810e-10
1418497992.188,1418.497992187,1.085931549874e-09
1418498578.125,1418.498578125,9.463544346811e-10
1418499164.062,1418.499164063,8.177773943218e-10
1418499750.000,1418.499750000,8.363931422050e-10
1418500335.938,1418.500335938,8.447617617271e-10
1418500921.875,1418.500921875,1.857612939914e-09
1418501507.812,1418.501507812,2.539758538220e-09
1418502093.750,1418.502093750,1.044806054670e-09
1418502679.688,1418.502679687,9.296600410816e-10
1418503265.625,1418.503265625,8.442287200135e-10
1418503851.562,1418.503851562,8.546489529521e-10
1418504437.500,1418.504437500,9.655749164703e-10
1418505023.438,1418.505023438,1.091747384304e-09
1418505609.375,1418.505609375,9.795819194759e-10
1418506195.312,1418.506195313,1.006531977298e-09
1418506781.250,1418.506781250,9.690962120543e-10
1418507367.188,1418.507367187,8.967303550419e-10
1418507953.125,1418.507953125,1.178414116750e-09
1418508539.062,1418.508539062,1.413549394137e-09
1418509125.000,1418.509125000,9.644472162773e-10
1418509710.938,1418.509710937,8.063272410022e-10
1418510296.875,1418.510296875,8.302332454252e-10
1418510882.812,1418.510882813,8.894529255052e-10
1418511468.750,1418.511468750,9.551059371915e-10
1418512054.688,1418.512054688,1.044511208571e-09
1418512640.625,1418.512640625,9.341989441033e-10
1418513226.562,1418.513226562,9.070183426145e-10
1418513812.500,1418.513812500,9.949328557387e-10
1418514398.438,1418.514398437,9.306401154822e-10
1418514984.375,1418.514984375,9.167725901848e-10
1418515570.312,1418.515570312,9.350975792881e-10
1418516156.250,1418.516156250,8.790919032655e-10
1418516742.188,1418.516742188,8.110174895501e-10
1418517328.125,1418.517328125,1.197964799741e-09
1418517914.062,1418.517914063,1.564704130049e-09
1418518500.000,1418.518500000,9.954314838411e-10
1418519085.938,1418.519085937,9.071627357029e-10
1418519671.875,1418.519671875,8.677559141232e-10
1418520257.812,1418.520257812,9.813148113824e-10
1418520843.750,1418.520843750,1.814692432537e-09
1418521429.688,1418.521429687,1.469314494080e-09
1418522015.625,1418.522015625,9.398716791506e-10
1418522601.562,1418.522601563,9.420513794014e-10
1418523187.500,1418.523187500,1.100121607552e-09
1418523773.438,1418.523773438,1.067919242599e-09
1418524359.375,1418.524359375,1.023654277556e-09
1418524945.312,1418.524945312,1.028193499145e-09
1418525531.250,1418.525531250,9.768236098598e-10
1418526117.188,1418.526117187,9.253741408210e-10
1418526703.125,1418.526703125,8.678432250670e-10
1418527289.062,1418.527289062,9.555927430390e-10
1418527875.000,1418.527875000,9.854159615343e-10
1418528460.938,1418.528460938,9.124927830202e-10
1418529046.875,1418.529046875,9.342957654775e-10
1418529632.812,1418.529632813,1.019942192221e-09
1418530218.750,1418.530218750,1.270817237595e-09
1418530804.688,1418.530804687,1.130838500496e-09
1418531390.625,1418.531390625,9.633010665641e-10
1418531976.562,1418.531976562,1.125689293558e-09
1418532562.500,1418.532562500,1.150803767329e-09
1418533148.438,1418.533148437,2.579212962492e-09
1418533734.375,1418.533734375,2.941105413502e-09
1418534320.312,1418.534320313,1.282903430285e-09
1418534906.250,1418.534906250,1.349806209872e-09
1418535492.188,1418.535492188,1.176762643007e-09
1418536078.125,1418.536078125,9.536111301535e-10
1418536664.062,1418.536664062,9.696706460652e-10
1418537250.000,1418.537250000,1.039674582674e-09
1418537835.938,1418.537835937,1.080103337120e-09
1418538421.875,1418.538421875,1.017042962397e-09
1418539007.812,1418.539007812,1.062276222069e-09
1418539593.750,1418.539593750,1.078716900634e-09
1418540179.688,1418.540179688,1.428650662431e-09
1418540765.625,1418.540765625,1.463700324634e-09
1418541351.562,1418.541351563,1.473807921137e-09
1418541937.500,1418.541937500,1.903906680153e-09
1418542523.438,1418.542523437,1.234328674478e-09
1418543109.375,1418.543109375,1.074706347958e-09
1418543695.312,1418.543695312,9.919344760244e-10
1418544281.250,1418.544281250,1.107511775082e-09
1418544867.188,1418.544867187,1.116935405311e-09
1418545453.125,1418.545453125,1.146263641077e-09
1418546039.062,1418.546039063,1.251306844295e-09
1418546625.000,1418.546625000,1.196883916377e-09
1418547210.938,1418.547210938,1.164132835982e-09
1418547796.875,1418.547796875,1.093164117918e-09
1418548382.812,1418.548382812,9.530356260225e-10
1418548968.750,1418.548968750,9.834724431179e-10
1418549554.688,1418.549554687,1.012029081854e-09
1418550140.625,1418.550140625,1.089887826169e-09
1418550726.562,1418.550726562,1.108538000761e-09
1418551312.500,1418.551312500,1.032271704972e-09
1418551898.438,1418.551898438,1.096926638934e-09
1418552484.375,1418.552484375,1.265507920462e-09
1418553070.312,1418.553070313,1.118666051186e-09
1418553656.250,1418.553656250,1.142635451675e-09
1418554242.188,1418.554242187,1.145084225729e-09
1418554828.125,1418.554828125,1.095920014310e-09
1418555414.062,1418.555414062,1.229981341346e-09
1418556000.000,1418.556000000,1.247263003118e-09
1418556585.938,1418.556585937,1.213992876852e-09
1418557171.875,1418.557171875,1.169496569121e-09
1418557757.812,1418.557757813,1.104105491305e-09
1418558343.750,1418.558343750,1.092945565113e-09
1418558929.688,1418.558929688,1.150866598073e-09
1418559515.625,1418.559515625,1.270925268918e-09
1418560101.562,1418.560101562,1.109622941693e-09
1418560687.500,1418.560687500,1.096916201304e-09
1418561273.438,1418.561273437,1.132588130069e-09
1418561859.375,1418.561859375,1.134910875751e-09
1418562445.312,1418.562445312,1.276194046135e-09
1418563031.250,1418.563031250,1.161797299514e-09
1418563617.188,1418.563617188,1.127720461932e-09
1418564203.125,1418.564203125,1.352301841106e-09
1418564789.062,1418.564789063,1.300777520435e-09
1418565375.000,1418.565375000,3.249763036183e-09
1418565960.938,1418.565960937,2.921017402063e-09
1418566546.875,1418.566546875,1.472463563792e-09
1418567132.812,1418.567132812,1.465044727212e-09
1418567718.750,1418.567718750,1.201059873043e-09
1418568304.688,1418.568304687,1.175458920770e-09
1418568890.625,1418.568890625,1.200674161907e-09
1418569476.562,1418.569476563,1.314140120813e-09
1418570062.500,1418.570062500,1.633049048537e-09
1418570648.438,1418.570648438,1.362108417068e-09
1418571234.375,1418.571234375,1.259912005056e-09
1418571820.312,1418.571820312,1.243090350907e-09
1418572406.250,1418.572406250,1.633102803950e-09
1418572992.188,1418.572992187,1.575866757134e-09
1418573578.125,1418.573578125,1.207330562039e-09
1418574164.062,1418.574164062,1.315501143775e-09
1418574750.000,1418.574750000,1.256041274214e-09
1418575335.938,1418.575335938,1.222466605142e-09
1418575921.875,1418.575921875,1.266351863923e-09
1418576507.812,1418.576507813,1.343152614782e-09
1418577093.750,1418.577093750,1.275607129339e-09
1418577679.688,1418.577679687,1.219594839597e-09
1418578265.625,1418.578265625,1.331098986914e-09
1418578851.562,1418.578851562,1.542675047345e-09
1418579437.500,1418.579437500,1.750621019310e-09
1418580023.438,1418.580023437,1.405261555252e-09
1418580609.375,1418.580609375,1.136691148191e-09
1418581195.312,1418.581195313,1.194031528794e-09
1418581781.250,1418.581781250,1.212718284633e-09
