# metadata_json,"{""task"":""take_21cm_data"",""timestamp_utc"":""2026-07-20T20:11:07.341626+00:00"",""target_name"":""galactic_plane"",""scan_index"":13,""scan_count"":20,""frequency_index"":5,""frequency_count"":5,""center_freq_hz"":1422005800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}}"
frequency_hz,frequency_mhz,psd_linear_per_hz
1420806000.000,1420.806000000,1.343942903235e-09
1420806585.938,1420.806585937,1.041733260716e-09
1420807171.875,1420.807171875,1.042400432886e-09
1420807757.812,1420.807757813,1.047705688207e-09
1420808343.750,1420.808343750,8.505997432791e-10
1420808929.688,1420.808929688,7.994032587350e-10
1420809515.625,1420.809515625,8.604099547058e-10
1420810101.562,1420.810101562,8.999415332831e-10
1420810687.500,1420.810687500,8.793296796674e-10
1420811273.438,1420.811273437,1.017481871604e-09
1420811859.375,1420.811859375,1.029507586698e-09
1420812445.312,1420.812445312,9.495101415408e-10
1420813031.250,1420.813031250,8.656997401584e-10
1420813617.188,1420.813617188,8.658225889084e-10
1420814203.125,1420.814203125,9.805712397128e-10
1420814789.062,1420.814789063,9.917152445448e-10
1420815375.000,1420.815375000,9.312322346641e-10
1420815960.938,1420.815960937,1.013016358618e-09
1420816546.875,1420.816546875,9.474968122322e-10
1420817132.812,1420.817132812,9.525900905648e-10
1420817718.750,1420.817718750,1.064609913246e-09
1420818304.688,1420.818304687,1.068324760817e-09
1420818890.625,1420.818890625,8.846922453721e-10
1420819476.562,1420.819476563,8.222994459779e-10
1420820062.500,1420.820062500,7.967907758095e-10
1420820648.438,1420.820648438,8.035305606385e-10
1420821234.375,1420.821234375,9.294109628060e-10
1420821820.312,1420.821820312,9.360845541165e-10
1420822406.250,1420.822406250,8.651346865051e-10
1420822992.188,1420.822992187,8.890315086507e-10
1420823578.125,1420.823578125,9.092294521294e-10
1420824164.062,1420.824164062,1.258801898886e-09
1420824750.000,1420.824750000,1.312890723956e-09
1420825335.938,1420.825335938,8.498889585159e-10
1420825921.875,1420.825921875,1.017210213168e-09
1420826507.812,1420.826507813,1.466836903803e-09
1420827093.750,1420.827093750,1.074274391703e-09
1420827679.688,1420.827679687,9.806842847178e-10
1420828265.625,1420.828265625,8.778382769088e-10
1420828851.562,1420.828851562,1.341493428876e-09
1420829437.500,1420.829437500,2.871228775921e-09
1420830023.438,1420.830023437,1.391772644862e-09
1420830609.375,1420.830609375,9.090961397061e-10
1420831195.312,1420.831195313,8.918637191278e-10
1420831781.250,1420.831781250,8.595582257528e-10
1420832367.188,1420.832367188,8.895825227171e-10
1420832953.125,1420.832953125,8.783949510716e-10
1420833539.062,1420.833539062,9.185306105838e-10
1420834125.000,1420.834125000,8.227328361689e-10
1420834710.938,1420.834710937,8.045141509979e-10
1420835296.875,1420.835296875,9.121613862246e-10
1420835882.812,1420.835882812,9.940892416758e-10
1420836468.750,1420.836468750,8.842973627982e-10
1420837054.688,1420.837054688,8.476929853838e-10
1420837640.625,1420.837640625,8.840127387899e-10
1420838226.562,1420.838226563,9.615676248713e-10
1420838812.500,1420.838812500,8.654915129101e-10
1420839398.438,1420.839398437,9.357634476206e-10
1420839984.375,1420.839984375,9.120824107600e-10
1420840570.312,1420.840570312,7.881075394676e-10
1420841156.250,1420.841156250,8.564116496677e-10
1420841742.188,1420.841742187,8.991820706635e-10
1420842328.125,1420.842328125,8.972414725025e-10
1420842914.062,1420.842914063,8.803883079717e-10
1420843500.000,1420.843500000,8.424044840759e-10
1420844085.938,1420.844085938,8.304199456823e-10
1420844671.875,1420.844671875,9.093859803246e-10
