# metadata_json,"{""task"":""take_21cm_data"",""timestamp_utc"":""2026-07-20T20:10:17.591355+00:00"",""target_name"":""galactic_plane"",""scan_index"":11,""scan_count"":20,""frequency_index"":3,""frequency_count"":5,""center_freq_hz"":1420405800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}}"
frequency_hz,frequency_mhz,psd_linear_per_hz
1419206000.000,1419.206000000,9.001521221890e-10
1419206585.938,1419.206585937,8.542350009148e-10
1419207171.875,1419.207171875,9.009716571952e-10
1419207757.812,1419.207757812,1.012270809893e-09
1419208343.750,1419.208343750,1.215191878650e-09
1419208929.688,1419.208929687,1.106042279393e-09
1419209515.625,1419.209515625,9.375140513791e-10
1419210101.562,1419.210101563,9.575456803010e-10
1419210687.500,1419.210687500,9.166323165553e-10
1419211273.438,1419.211273438,9.124976862576e-10
1419211859.375,1419.211859375,8.888844907933e-10
1419212445.312,1419.212445312,8.691491857208e-10
1419213031.250,1419.213031250,9.143250984843e-10
1419213617.188,1419.213617187,8.441535575359e-10
1419214203.125,1419.214203125,8.266567350357e-10
1419214789.062,1419.214789062,8.031538974165e-10
1419215375.000,1419.215375000,8.227465168413e-10
1419215960.938,1419.215960938,8.738019724748e-10
1419216546.875,1419.216546875,8.970696241497e-10
1419217132.812,1419.217132813,9.439649389668e-10
1419217718.750,1419.217718750,8.980038370510e-10
1419218304.688,1419.218304687,8.854024421987e-10
1419218890.625,1419.218890625,9.798501006743e-10
1419219476.562,1419.219476562,1.038252963553e-09
1419220062.500,1419.220062500,1.006586360967e-09
1419220648.438,1419.220648437,9.266648874649e-10
1419221234.375,1419.221234375,8.534471748460e-10
1419221820.312,1419.221820313,8.523897450333e-10
1419222406.250,1419.222406250,9.107403243541e-10
1419222992.188,1419.222992188,8.454745558307e-10
1419223578.125,1419.223578125,8.302840715324e-10
1419224164.062,1419.224164062,8.516476980598e-10
1419224750.000,1419.224750000,8.461664417930e-10
1419225335.938,1419.225335937,8.765125947457e-10
1419225921.875,1419.225921875,1.139303512827e-09
1419226507.812,1419.226507812,1.127390811369e-09
1419227093.750,1419.227093750,9.803886531841e-10
