# metadata_json,"{""task"":""take_50ohm_data"",""timestamp_utc"":""2026-06-17T00:57:41.386198+00:00"",""load_label"":""50ohm_termination"",""scan_index"":6,""scan_count"":20,""frequency_index"":1,""frequency_count"":5,""center_freq_hz"":1418805800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}}"
frequency_hz,frequency_mhz,psd_linear_per_hz
1417606000.000,1417.606000000,3.052637013167e-10
1417606585.938,1417.606585938,2.947696887994e-10
1417607171.875,1417.607171875,2.923348514214e-10
1417607757.812,1417.607757813,3.057227983207e-10
1417608343.750,1417.608343750,3.099091436711e-10
1417608929.688,1417.608929687,3.065802386019e-10
1417609515.625,1417.609515625,2.988410828064e-10
1417610101.562,1417.610101562,2.945190552195e-10
1417610687.500,1417.610687500,2.971018732540e-10
1417611273.438,1417.611273437,2.934258448305e-10
1417611859.375,1417.611859375,3.017214609813e-10
1417612445.312,1417.612445313,3.026791814393e-10
1417613031.250,1417.613031250,2.999046961196e-10
1417613617.188,1417.613617188,2.994185869947e-10
1417614203.125,1417.614203125,2.995865486350e-10
1417614789.062,1417.614789062,3.100203623515e-10
1417615375.000,1417.615375000,3.059736410777e-10
1417615960.938,1417.615960937,2.945530897281e-10
1417616546.875,1417.616546875,2.925776640441e-10
1417617132.812,1417.617132812,2.968289941315e-10
1417617718.750,1417.617718750,3.013896852221e-10
1417618304.688,1417.618304688,3.093261247246e-10
1417618890.625,1417.618890625,2.995298085809e-10
1417619476.562,1417.619476563,2.952159618970e-10
1417620062.500,1417.620062500,2.904573004045e-10
1417620648.438,1417.620648437,2.864777132168e-10
1417621234.375,1417.621234375,2.986999876254e-10
1417621820.312,1417.621820312,2.981808654605e-10
1417622406.250,1417.622406250,2.936639489602e-10
1417622992.188,1417.622992187,2.936581218237e-10
1417623578.125,1417.623578125,3.009736174331e-10
1417624164.062,1417.624164063,2.984248937803e-10
1417624750.000,1417.624750000,2.997589494675e-10
1417625335.938,1417.625335938,3.008983727880e-10
1417625921.875,1417.625921875,2.915727095593e-10
