# metadata_json,"{""task"":""take_50ohm_data"",""timestamp_utc"":""2026-06-17T01:00:39.745181+00:00"",""load_label"":""50ohm_termination"",""scan_index"":14,""scan_count"":20,""frequency_index"":4,""frequency_count"":5,""center_freq_hz"":1421205800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}}"
frequency_hz,frequency_mhz,psd_linear_per_hz
1420006000.000,1420.006000000,2.823276649892e-10
1420006585.938,1420.006585937,2.834827982353e-10
1420007171.875,1420.007171875,2.862962366072e-10
1420007757.812,1420.007757812,2.882334520704e-10
1420008343.750,1420.008343750,2.821699490296e-10
1420008929.688,1420.008929688,2.909002462765e-10
1420009515.625,1420.009515625,2.829608364725e-10
1420010101.562,1420.010101563,2.855657945334e-10
1420010687.500,1420.010687500,2.826999026076e-10
1420011273.438,1420.011273437,2.832681120108e-10
1420011859.375,1420.011859375,2.842777391579e-10
1420012445.312,1420.012445312,2.762703862186e-10
1420013031.250,1420.013031250,2.849621263188e-10
1420013617.188,1420.013617187,2.814828423274e-10
1420014203.125,1420.014203125,2.802295938202e-10
1420014789.062,1420.014789063,2.771664241967e-10
1420015375.000,1420.015375000,2.795248090397e-10
1420015960.938,1420.015960938,2.896091966103e-10
1420016546.875,1420.016546875,2.829377958495e-10
1420017132.812,1420.017132812,2.748555510544e-10
1420017718.750,1420.017718750,2.790965758350e-10
1420018304.688,1420.018304687,2.791664525529e-10
1420018890.625,1420.018890625,2.799116056964e-10
1420019476.562,1420.019476562,2.846523670054e-10
1420020062.500,1420.020062500,2.795449272372e-10
1420020648.438,1420.020648438,2.797535709847e-10
1420021234.375,1420.021234375,2.869257270815e-10
1420021820.312,1420.021820313,2.875109488104e-10
1420022406.250,1420.022406250,2.820411976028e-10
1420022992.188,1420.022992187,2.820224482322e-10
1420023578.125,1420.023578125,2.767001726189e-10
1420024164.062,1420.024164062,2.781752655331e-10
1420024750.000,1420.024750000,2.746977818969e-10
1420025335.938,1420.025335937,2.753706383585e-10
1420025921.875,1420.025921875,2.786478843648e-10
1420026507.812,1420.026507813,2.757462742508e-10
1420027093.750,1420.027093750,2.779345066619e-10
1420027679.688,1420.027679688,2.717053467360e-10
1420028265.625,1420.028265625,2.763131425257e-10
1420028851.562,1420.028851562,2.740710868503e-10
1420029437.500,1420.029437500,2.803975400323e-10
1420030023.438,1420.030023437,2.819304471044e-10
1420030609.375,1420.030609375,2.755427646241e-10
1420031195.312,1420.031195312,2.799168871223e-10
1420031781.250,1420.031781250,2.818764098342e-10
1420032367.188,1420.032367188,2.722240578520e-10
1420032953.125,1420.032953125,2.623576283694e-10
1420033539.062,1420.033539063,2.661430258490e-10
1420034125.000,1420.034125000,2.724998027007e-10
1420034710.938,1420.034710937,2.753838281076e-10
1420035296.875,1420.035296875,2.726552700844e-10
1420035882.812,1420.035882812,2.777541873730e-10
1420036468.750,1420.036468750,2.796499699427e-10
1420037054.688,1420.037054687,2.698631739716e-10
1420037640.625,1420.037640625,2.809867679350e-10
1420038226.562,1420.038226563,2.861447590862e-10
1420038812.500,1420.038812500,2.744409227094e-10
1420039398.438,1420.039398438,2.721994091196e-10
1420039984.375,1420.039984375,2.744416662207e-10
1420040570.312,1420.040570312,2.678926499292e-10
1420041156.250,1420.041156250,2.745391746080e-10
1420041742.188,1420.041742187,2.786529649038e-10
1420042328.125,1420.042328125,2.724449698184e-10
1420042914.062,1420.042914062,2.719796894431e-10
1420043500.000,1420.043500000,2.700456548111e-10
1420044085.938,1420.044085938,2.717032303581e-10
1420044671.875,1420.044671875,2.717210832556e-10
1420045257.812,1420.045257813,2.679902768536e-10
1420045843.750,1420.045843750,2.712861988291e-10
1420046429.688,1420.046429687,2.780756291967e-10
1420047015.625,1420.047015625,2.738539169726e-10
1420047601.562,1420.047601562,2.734633539974e-10
1420048187.500,1420.048187500,2.742266206666e-10
1420048773.438,1420.048773437,2.730701882424e-10
1420049359.375,1420.049359375,2.678004623954e-10
1420049945.312,1420.049945313,2.741408722598e-10
1420050531.250,1420.050531250,2.762475531076e-10
1420051117.188,1420.051117188,2.789414948694e-10
1420051703.125,1420.051703125,2.747003294079e-10
1420052289.062,1420.052289062,2.692660097188e-10
1420052875.000,1420.052875000,2.692955756458e-10
1420053460.938,1420.053460937,2.679280109907e-10
1420054046.875,1420.054046875,2.749598694222e-10
1420054632.812,1420.054632812,2.756321942724e-10
1420055218.750,1420.055218750,2.722900483593e-10
1420055804.688,1420.055804688,2.811377230167e-10
1420056390.625,1420.056390625,2.811599149854e-10
1420056976.562,1420.056976563,2.732255172833e-10
1420057562.500,1420.057562500,2.724727961913e-10
1420058148.438,1420.058148437,2.719944420651e-10
1420058734.375,1420.058734375,2.753214067752e-10
1420059320.312,1420.059320312,2.751702073364e-10
1420059906.250,1420.059906250,2.792855725374e-10
1420060492.188,1420.060492187,2.748327469495e-10
1420061078.125,1420.061078125,2.793515395566e-10
1420061664.062,1420.061664063,2.786097928105e-10
1420062250.000,1420.062250000,2.815991301878e-10
1420062835.938,1420.062835938,2.824739128395e-10
1420063421.875,1420.063421875,2.772856490696e-10
1420064007.812,1420.064007812,2.720341050496e-10
1420064593.750,1420.064593750,2.836596286912e-10
1420065179.688,1420.065179687,2.813039173753e-10
1420065765.625,1420.065765625,2.707978234496e-10
1420066351.562,1420.066351562,2.728317208985e-10
1420066937.500,1420.066937500,2.763555676987e-10
1420067523.438,1420.067523438,2.699406581643e-10
1420068109.375,1420.068109375,2.758785016687e-10
1420068695.312,1420.068695313,2.793034290486e-10
1420069281.250,1420.069281250,2.784551024314e-10
1420069867.188,1420.069867187,2.822620981147e-10
1420070453.125,1420.070453125,2.820956724685e-10
1420071039.062,1420.071039062,2.777242282764e-10
1420071625.000,1420.071625000,2.782411958490e-10
1420072210.938,1420.072210937,2.835851828029e-10
1420072796.875,1420.072796875,2.827476081793e-10
1420073382.812,1420.073382813,2.851003674499e-10
1420073968.750,1420.073968750,2.830826303113e-10
1420074554.688,1420.074554688,2.723902667500e-10
1420075140.625,1420.075140625,2.738169327551e-10
1420075726.562,1420.075726562,2.801740557724e-10
1420076312.500,1420.076312500,2.801744474747e-10
1420076898.438,1420.076898437,2.851821756136e-10
1420077484.375,1420.077484375,2.842545345091e-10
1420078070.312,1420.078070312,2.868202026917e-10
1420078656.250,1420.078656250,2.865880250631e-10
1420079242.188,1420.079242188,2.827613277636e-10
1420079828.125,1420.079828125,2.907766415295e-10
1420080414.062,1420.080414063,2.906388123432e-10
1420081000.000,1420.081000000,2.846911623441e-10
1420081585.938,1420.081585937,2.894960057392e-10
1420082171.875,1420.082171875,2.852014183114e-10
1420082757.812,1420.082757812,2.863028074528e-10
1420083343.750,1420.083343750,2.892315796562e-10
1420083929.688,1420.083929687,2.894700545691e-10
1420084515.625,1420.084515625,2.941967257552e-10
1420085101.562,1420.085101563,2.942543332182e-10
1420085687.500,1420.085687500,2.932085523298e-10
1420086273.438,1420.086273438,2.929964240925e-10
1420086859.375,1420.086859375,2.901649505643e-10
1420087445.312,1420.087445312,2.943970593431e-10
1420088031.250,1420.088031250,2.967572197439e-10
1420088617.188,1420.088617187,2.928006008596e-10
1420089203.125,1420.089203125,2.920261958084e-10
1420089789.062,1420.089789062,2.980972874205e-10
1420090375.000,1420.090375000,2.944218441724e-10
1420090960.938,1420.090960938,2.898809313300e-10
1420091546.875,1420.091546875,2.875023011679e-10
1420092132.812,1420.092132813,2.942154728343e-10
1420092718.750,1420.092718750,2.943576289666e-10
1420093304.688,1420.093304687,2.902917757925e-10
1420093890.625,1420.093890625,2.876118761496e-10
1420094476.562,1420.094476562,2.870716999551e-10
1420095062.500,1420.095062500,2.928192936717e-10
1420095648.438,1420.095648437,2.949268194499e-10
1420096234.375,1420.096234375,2.958519803936e-10
1420096820.312,1420.096820313,2.956297614975e-10
1420097406.250,1420.097406250,3.020439312762e-10
1420097992.188,1420.097992188,2.999688985462e-10
1420098578.125,1420.098578125,2.967104439904e-10
1420099164.062,1420.099164062,2.933685851702e-10
1420099750.000,1420.099750000,3.067297030245e-10
1420100335.938,1420.100335937,3.078586277884e-10
1420100921.875,1420.100921875,2.977410406490e-10
1420101507.812,1420.101507812,3.033902120009e-10
1420102093.750,1420.102093750,3.102746548093e-10
1420102679.688,1420.102679688,3.008529034996e-10
1420103265.625,1420.103265625,3.008241688191e-10
1420103851.562,1420.103851563,3.080548644678e-10
1420104437.500,1420.104437500,3.065253289766e-10
1420105023.438,1420.105023437,3.182502521215e-10
1420105609.375,1420.105609375,3.177777297074e-10
1420106195.312,1420.106195312,2.987345337334e-10
1420106781.250,1420.106781250,3.010290567171e-10
1420107367.188,1420.107367187,3.086476223792e-10
1420107953.125,1420.107953125,3.073287296570e-10
1420108539.062,1420.108539063,3.161763456759e-10
1420109125.000,1420.109125000,3.057056056448e-10
1420109710.938,1420.109710938,3.061235812103e-10
1420110296.875,1420.110296875,3.147676792738e-10
1420110882.812,1420.110882812,3.216846432619e-10
1420111468.750,1420.111468750,3.199979463032e-10
1420112054.688,1420.112054687,3.258779580712e-10
1420112640.625,1420.112640625,3.195597907549e-10
1420113226.562,1420.113226562,3.261435926328e-10
1420113812.500,1420.113812500,3.306622970736e-10
1420114398.438,1420.114398438,3.226803026163e-10
1420114984.375,1420.114984375,3.269266993189e-10
1420115570.312,1420.115570313,3.259404607317e-10
1420116156.250,1420.116156250,3.267689948133e-10
1420116742.188,1420.116742187,3.284403219839e-10
1420117328.125,1420.117328125,3.305363753954e-10
1420117914.062,1420.117914062,3.346859016257e-10
1420118500.000,1420.118500000,3.296987331228e-10
1420119085.938,1420.119085937,3.243178312034e-10
1420119671.875,1420.119671875,3.265031136286e-10
1420120257.812,1420.120257813,3.324791416829e-10
1420120843.750,1420.120843750,3.384208935969e-10
1420121429.688,1420.121429688,3.390006505426e-10
1420122015.625,1420.122015625,3.366019654481e-10
1420122601.562,1420.122601562,3.383134527891e-10
1420123187.500,1420.123187500,3.371772374990e-10
1420123773.438,1420.123773437,3.304619178701e-10
1420124359.375,1420.124359375,3.366373526552e-10
1420124945.312,1420.124945312,3.346820111507e-10
1420125531.250,1420.125531250,3.443381374851e-10
1420126117.188,1420.126117188,3.471758213916e-10
1420126703.125,1420.126703125,3.422981429828e-10
1420127289.062,1420.127289063,3.419486628016e-10
1420127875.000,1420.127875000,3.367872480342e-10
1420128460.938,1420.128460937,3.492726250416e-10
1420129046.875,1420.129046875,3.399586761140e-10
1420129632.812,1420.129632812,3.434514576667e-10
1420130218.750,1420.130218750,3.481805232667e-10
1420130804.688,1420.130804687,3.521611473304e-10
1420131390.625,1420.131390625,3.534647731339e-10
1420131976.562,1420.131976563,3.482228380572e-10
1420132562.500,1420.132562500,3.425638726183e-10
1420133148.438,1420.133148438,3.475840775524e-10
1420133734.375,1420.133734375,3.500034209667e-10
1420134320.312,1420.134320312,3.571123227935e-10
1420134906.250,1420.134906250,3.589576140942e-10
1420135492.188,1420.135492187,3.617306402858e-10
1420136078.125,1420.136078125,3.654764941292e-10
1420136664.062,1420.136664062,3.582497391369e-10
1420137250.000,1420.137250000,3.608204225902e-10
1420137835.938,1420.137835938,3.627599721183e-10
1420138421.875,1420.138421875,3.688476129862e-10
1420139007.812,1420.139007813,3.623439211985e-10
1420139593.750,1420.139593750,3.643839298175e-10
1420140179.688,1420.140179687,3.677197872754e-10
1420140765.625,1420.140765625,3.765599443597e-10
1420141351.562,1420.141351562,3.743220102845e-10
1420141937.500,1420.141937500,3.706420740151e-10
1420142523.438,1420.142523437,3.782349062643e-10
1420143109.375,1420.143109375,3.736632643727e-10
1420143695.312,1420.143695313,3.734810841363e-10
1420144281.250,1420.144281250,3.689070482366e-10
1420144867.188,1420.144867188,3.781714740102e-10
1420145453.125,1420.145453125,3.831420189077e-10
1420146039.062,1420.146039062,3.827758210655e-10
1420146625.000,1420.146625000,3.793435504954e-10
1420147210.938,1420.147210937,3.831162132025e-10
1420147796.875,1420.147796875,3.819775854751e-10
1420148382.812,1420.148382812,3.823931107386e-10
1420148968.750,1420.148968750,3.887796558991e-10
