# metadata_json,"{""task"":""take_21cm_data"",""timestamp_utc"":""2026-05-12T19:54:37.412272+00:00"",""target_name"":""galactic_plane"",""scan_index"":75,""scan_count"":100,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""center_freq_hz"":1420405800,""gain_db"":36.4,""bias_t"":true}}"
frequency_hz,frequency_mhz,psd_linear_per_hz
1419206000.000,1419.206000000,6.442045449993e-10
1419206585.938,1419.206585937,6.399365021801e-10
1419207171.875,1419.207171875,6.479677691280e-10
1419207757.812,1419.207757812,6.428537324603e-10
1419208343.750,1419.208343750,6.501588083603e-10
1419208929.688,1419.208929687,6.792259049602e-10
1419209515.625,1419.209515625,7.024336752918e-10
1419210101.562,1419.210101563,7.095183467918e-10
1419210687.500,1419.210687500,7.187423997091e-10
1419211273.438,1419.211273438,7.214983986225e-10
1419211859.375,1419.211859375,7.286549957891e-10
1419212445.312,1419.212445312,7.516842103308e-10
1419213031.250,1419.213031250,7.652793835127e-10
1419213617.188,1419.213617187,7.731815724173e-10
1419214203.125,1419.214203125,7.811345328065e-10
1419214789.062,1419.214789062,7.626061640610e-10
1419215375.000,1419.215375000,7.492051873934e-10
1419215960.938,1419.215960938,7.179783871166e-10
1419216546.875,1419.216546875,7.305485794116e-10
1419217132.812,1419.217132813,7.352103882657e-10
1419217718.750,1419.217718750,7.149997187844e-10
1419218304.688,1419.218304687,6.887161103763e-10
1419218890.625,1419.218890625,6.860191532972e-10
1419219476.562,1419.219476562,6.639794504811e-10
1419220062.500,1419.220062500,6.453088175374e-10
1419220648.438,1419.220648437,6.314621655825e-10
1419221234.375,1419.221234375,6.483493763300e-10
1419221820.312,1419.221820313,6.312281725375e-10
1419222406.250,1419.222406250,6.488601713529e-10
1419222992.188,1419.222992188,6.603664490001e-10
1419223578.125,1419.223578125,6.435797750060e-10
1419224164.062,1419.224164062,6.523239839356e-10
1419224750.000,1419.224750000,6.556523205253e-10
1419225335.938,1419.225335937,6.739070504924e-10
1419225921.875,1419.225921875,6.911967073489e-10
1419226507.812,1419.226507812,7.089115341668e-10
1419227093.750,1419.227093750,7.175776499027e-10
1419227679.688,1419.227679688,7.220353995612e-10
1419228265.625,1419.228265625,7.425791966079e-10
1419228851.562,1419.228851563,7.656652772645e-10
1419229437.500,1419.229437500,7.649146084674e-10
1419230023.438,1419.230023437,7.483275150181e-10
1419230609.375,1419.230609375,7.358949051693e-10
1419231195.312,1419.231195312,7.149228928146e-10
1419231781.250,1419.231781250,7.053233661121e-10
1419232367.188,1419.232367187,7.021732343173e-10
1419232953.125,1419.232953125,6.937596841081e-10
1419233539.062,1419.233539063,6.662076600067e-10
1419234125.000,1419.234125000,6.503192455648e-10
1419234710.938,1419.234710938,6.283638412342e-10
1419235296.875,1419.235296875,6.158836464879e-10
1419235882.812,1419.235882812,6.154814702720e-10
1419236468.750,1419.236468750,6.045831117554e-10
1419237054.688,1419.237054687,5.981416216409e-10
