# metadata_json,"{""task"":""take_50ohm_data"",""timestamp_utc"":""2026-06-17T00:46:20.336375+00:00"",""load_label"":""50ohm_termination"",""scan_index"":9,""scan_count"":20,""frequency_index"":4,""frequency_count"":5,""center_freq_hz"":1421205800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}}"
frequency_hz,frequency_mhz,psd_linear_per_hz
1420006000.000,1420.006000000,2.994361581566e-10
1420006585.938,1420.006585937,2.938141413650e-10
1420007171.875,1420.007171875,2.858068259323e-10
1420007757.812,1420.007757812,2.917106122336e-10
1420008343.750,1420.008343750,2.886539697924e-10
1420008929.688,1420.008929688,2.831320285080e-10
1420009515.625,1420.009515625,2.918458118813e-10
1420010101.562,1420.010101563,2.923453828234e-10
1420010687.500,1420.010687500,2.988508296240e-10
1420011273.438,1420.011273437,2.945959193825e-10
1420011859.375,1420.011859375,2.890763953497e-10
1420012445.312,1420.012445312,2.925949457198e-10
1420013031.250,1420.013031250,2.897461091902e-10
1420013617.188,1420.013617187,2.910943455791e-10
1420014203.125,1420.014203125,2.918449339067e-10
1420014789.062,1420.014789063,2.863118023669e-10
1420015375.000,1420.015375000,2.819806522405e-10
1420015960.938,1420.015960938,2.838987621128e-10
1420016546.875,1420.016546875,2.882414527285e-10
1420017132.812,1420.017132812,2.876711816820e-10
1420017718.750,1420.017718750,2.946229569831e-10
1420018304.688,1420.018304687,2.825839658843e-10
1420018890.625,1420.018890625,2.770208277075e-10
1420019476.562,1420.019476562,2.830341995814e-10
1420020062.500,1420.020062500,2.775478197231e-10
1420020648.438,1420.020648438,2.846995875413e-10
1420021234.375,1420.021234375,2.893613095432e-10
1420021820.312,1420.021820313,2.875901245846e-10
1420022406.250,1420.022406250,2.874465505424e-10
1420022992.188,1420.022992187,2.793467832817e-10
1420023578.125,1420.023578125,2.842603910646e-10
1420024164.062,1420.024164062,2.908231739213e-10
1420024750.000,1420.024750000,2.878154615083e-10
1420025335.938,1420.025335937,2.839880950128e-10
1420025921.875,1420.025921875,2.808824142392e-10
1420026507.812,1420.026507813,2.783954236050e-10
1420027093.750,1420.027093750,2.793479032509e-10
1420027679.688,1420.027679688,2.770783501344e-10
1420028265.625,1420.028265625,2.770745041979e-10
1420028851.562,1420.028851562,2.745768639545e-10
1420029437.500,1420.029437500,2.782001494697e-10
1420030023.438,1420.030023437,2.856931836336e-10
1420030609.375,1420.030609375,2.847296262982e-10
