# metadata_json,"{""task"":""take_50ohm_data"",""timestamp_utc"":""2026-07-22T17:46:05.319739+00:00"",""load_label"":""50ohm_termination"",""scan_index"":9,""scan_count"":10,""frequency_index"":3,""frequency_count"":5,""center_freq_hz"":1420405800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}}"
frequency_hz,frequency_mhz,psd_linear_per_hz
1419206000.000,1419.206000000,3.038510916318e-10
1419206585.938,1419.206585937,3.034636497147e-10
1419207171.875,1419.207171875,3.117755179659e-10
1419207757.812,1419.207757812,3.089255736094e-10
1419208343.750,1419.208343750,3.013165881844e-10
1419208929.688,1419.208929687,3.034746573392e-10
1419209515.625,1419.209515625,2.996354025157e-10
1419210101.562,1419.210101563,3.065053607314e-10
1419210687.500,1419.210687500,3.032876184090e-10
1419211273.438,1419.211273438,2.983565379007e-10
1419211859.375,1419.211859375,3.013496330218e-10
1419212445.312,1419.212445312,2.980830234098e-10
1419213031.250,1419.213031250,2.988918656238e-10
1419213617.188,1419.213617187,2.924878743356e-10
1419214203.125,1419.214203125,2.937425118907e-10
1419214789.062,1419.214789062,2.946535304662e-10
1419215375.000,1419.215375000,3.009015326678e-10
1419215960.938,1419.215960938,3.011419066352e-10
1419216546.875,1419.216546875,2.962239813210e-10
1419217132.812,1419.217132813,2.946222447168e-10
1419217718.750,1419.217718750,2.933824746112e-10
1419218304.688,1419.218304687,2.941546388186e-10
1419218890.625,1419.218890625,2.962259013704e-10
1419219476.562,1419.219476562,2.988542743626e-10
1419220062.500,1419.220062500,2.951002735523e-10
1419220648.438,1419.220648437,2.929684791781e-10
1419221234.375,1419.221234375,2.944827157991e-10
1419221820.312,1419.221820313,2.938498935864e-10
1419222406.250,1419.222406250,2.948380507592e-10
1419222992.188,1419.222992188,2.900141774871e-10
1419223578.125,1419.223578125,2.899195468479e-10
1419224164.062,1419.224164062,2.945704430932e-10
1419224750.000,1419.224750000,2.885667812238e-10
1419225335.938,1419.225335937,2.902565223784e-10
1419225921.875,1419.225921875,2.902730052399e-10
1419226507.812,1419.226507812,2.911007712591e-10
1419227093.750,1419.227093750,3.020361786427e-10
1419227679.688,1419.227679688,2.995001334433e-10
1419228265.625,1419.228265625,2.940605437473e-10
1419228851.562,1419.228851563,2.938773668849e-10
1419229437.500,1419.229437500,2.951839433051e-10
1419230023.438,1419.230023437,2.917133889955e-10
1419230609.375,1419.230609375,2.852384372955e-10
1419231195.312,1419.231195312,2.848849271566e-10
1419231781.250,1419.231781250,2.863036301577e-10
1419232367.188,1419.232367187,2.999156413580e-10
1419232953.125,1419.232953125,2.986168714827e-10
1419233539.062,1419.233539063,2.904403728745e-10
1419234125.000,1419.234125000,2.933522977977e-10
1419234710.938,1419.234710938,2.888113822856e-10
1419235296.875,1419.235296875,2.851296969519e-10
1419235882.812,1419.235882812,2.940394166161e-10
1419236468.750,1419.236468750,2.910121893049e-10
1419237054.688,1419.237054687,2.941994703305e-10
1419237640.625,1419.237640625,2.928417629366e-10
1419238226.562,1419.238226562,2.965368639888e-10
1419238812.500,1419.238812500,2.902683531919e-10
1419239398.438,1419.239398438,2.949023240728e-10
1419239984.375,1419.239984375,2.969358484771e-10
1419240570.312,1419.240570313,2.878725619345e-10
1419241156.250,1419.241156250,2.824458167040e-10
1419241742.188,1419.241742187,2.889416724522e-10
1419242328.125,1419.242328125,2.942402646892e-10
1419242914.062,1419.242914062,2.865050372331e-10
1419243500.000,1419.243500000,2.860306829877e-10
1419244085.938,1419.244085937,2.837041247722e-10
1419244671.875,1419.244671875,2.870715988048e-10
1419245257.812,1419.245257813,2.823228554196e-10
1419245843.750,1419.245843750,2.835027030237e-10
1419246429.688,1419.246429688,2.878537733442e-10
1419247015.625,1419.247015625,2.891622042667e-10
1419247601.562,1419.247601562,2.917802010143e-10
1419248187.500,1419.248187500,2.922365124354e-10
1419248773.438,1419.248773437,2.948450585129e-10
1419249359.375,1419.249359375,2.896699656904e-10
1419249945.312,1419.249945312,2.849400105948e-10
1419250531.250,1419.250531250,2.865161267847e-10
1419251117.188,1419.251117188,2.886190067761e-10
1419251703.125,1419.251703125,2.807635208152e-10
1419252289.062,1419.252289063,2.848586880390e-10
1419252875.000,1419.252875000,2.920585801044e-10
1419253460.938,1419.253460937,2.916308460380e-10
1419254046.875,1419.254046875,2.850231074913e-10
1419254632.812,1419.254632812,2.858312798451e-10
1419255218.750,1419.255218750,2.842237118540e-10
1419255804.688,1419.255804687,2.851732970428e-10
1419256390.625,1419.256390625,2.817530353944e-10
1419256976.562,1419.256976563,2.847713674647e-10
1419257562.500,1419.257562500,2.810610802393e-10
1419258148.438,1419.258148438,2.848931653200e-10
1419258734.375,1419.258734375,2.814087139740e-10
1419259320.312,1419.259320312,2.861046462206e-10
1419259906.250,1419.259906250,2.978788226716e-10
1419260492.188,1419.260492187,2.959815206781e-10
1419261078.125,1419.261078125,2.879555558086e-10
1419261664.062,1419.261664062,2.870762290027e-10
1419262250.000,1419.262250000,2.862581323385e-10
1419262835.938,1419.262835938,2.895783075272e-10
1419263421.875,1419.263421875,2.894681965299e-10
1419264007.812,1419.264007813,2.886875777038e-10
1419264593.750,1419.264593750,2.872841103399e-10
1419265179.688,1419.265179687,2.909446286876e-10
1419265765.625,1419.265765625,2.874446403876e-10
1419266351.562,1419.266351562,2.893163224239e-10
1419266937.500,1419.266937500,2.967679508266e-10
1419267523.438,1419.267523437,3.015033034160e-10
1419268109.375,1419.268109375,2.922800913579e-10
1419268695.312,1419.268695313,2.833675278526e-10
1419269281.250,1419.269281250,2.892100535299e-10
1419269867.188,1419.269867188,2.966029754771e-10
1419270453.125,1419.270453125,2.936326293928e-10
1419271039.062,1419.271039062,2.946035052972e-10
1419271625.000,1419.271625000,2.936002255820e-10
1419272210.938,1419.272210937,2.887719280500e-10
1419272796.875,1419.272796875,2.885082292743e-10
1419273382.812,1419.273382812,2.978747468217e-10
1419273968.750,1419.273968750,3.024207478591e-10
1419274554.688,1419.274554688,3.009346123145e-10
1419275140.625,1419.275140625,2.985999909067e-10
1419275726.562,1419.275726563,3.064661565230e-10
1419276312.500,1419.276312500,3.102435265875e-10
1419276898.438,1419.276898437,3.030045943830e-10
1419277484.375,1419.277484375,3.019237596259e-10
1419278070.312,1419.278070312,2.941597588907e-10
1419278656.250,1419.278656250,2.982773584876e-10
1419279242.188,1419.279242187,3.012629189212e-10
1419279828.125,1419.279828125,2.974748015106e-10
1419280414.062,1419.280414063,3.013585307107e-10
1419281000.000,1419.281000000,3.011692109935e-10
1419281585.938,1419.281585938,2.971528796102e-10
