# metadata_json,"{""task"":""take_21cm_data"",""timestamp_utc"":""2026-07-20T19:46:05.958052+00:00"",""target_name"":""galactic_plane"",""scan_index"":5,""scan_count"":20,""frequency_index"":1,""frequency_count"":5,""center_freq_hz"":1418805800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}}"
frequency_hz,frequency_mhz,psd_linear_per_hz
1417606000.000,1417.606000000,4.408286310460e-09
1417606585.938,1417.606585938,5.223701096892e-09
1417607171.875,1417.607171875,1.941782218621e-09
1417607757.812,1417.607757813,9.406057060965e-10
1417608343.750,1417.608343750,1.020014147693e-09
1417608929.688,1417.608929687,9.576176743811e-10
1417609515.625,1417.609515625,9.340964724569e-10
1417610101.562,1417.610101562,9.762705021826e-10
1417610687.500,1417.610687500,1.006517200018e-09
1417611273.438,1417.611273437,9.134446162584e-10
1417611859.375,1417.611859375,1.015985156574e-09
1417612445.312,1417.612445313,9.861038336477e-10
1417613031.250,1417.613031250,8.775129529544e-10
1417613617.188,1417.613617188,8.677167031849e-10
1417614203.125,1417.614203125,8.535909306377e-10
1417614789.062,1417.614789062,8.938971218169e-10
1417615375.000,1417.615375000,1.042368788005e-09
1417615960.938,1417.615960937,9.266731275033e-10
1417616546.875,1417.616546875,9.221081797328e-10
1417617132.812,1417.617132812,9.031487330778e-10
1417617718.750,1417.617718750,8.925437807114e-10
1417618304.688,1417.618304688,9.206461514693e-10
1417618890.625,1417.618890625,9.254184462865e-10
1417619476.562,1417.619476563,9.216110290930e-10
1417620062.500,1417.620062500,9.828493048611e-10
1417620648.438,1417.620648437,1.030588565498e-09
1417621234.375,1417.621234375,9.443034175605e-10
1417621820.312,1417.621820312,8.970333593160e-10
1417622406.250,1417.622406250,8.905375793694e-10
1417622992.188,1417.622992187,8.947161876231e-10
1417623578.125,1417.623578125,9.444928184719e-10
1417624164.062,1417.624164063,9.833006597652e-10
1417624750.000,1417.624750000,9.582868506858e-10
1417625335.938,1417.625335938,9.425775829259e-10
1417625921.875,1417.625921875,9.366641486710e-10
1417626507.812,1417.626507812,8.954434616630e-10
1417627093.750,1417.627093750,8.633746640138e-10
1417627679.688,1417.627679687,9.208876779808e-10
1417628265.625,1417.628265625,9.860190032382e-10
1417628851.562,1417.628851562,1.009537861238e-09
1417629437.500,1417.629437500,9.575869656094e-10
1417630023.438,1417.630023438,1.001522210298e-09
1417630609.375,1417.630609375,9.951168935132e-10
1417631195.312,1417.631195313,1.063151068959e-09
1417631781.250,1417.631781250,9.658462348221e-10
1417632367.188,1417.632367187,9.868649172566e-10
1417632953.125,1417.632953125,9.671477186588e-10
1417633539.062,1417.633539062,8.950788138215e-10
1417634125.000,1417.634125000,8.884927698090e-10
1417634710.938,1417.634710937,8.969353832631e-10
1417635296.875,1417.635296875,9.217207225528e-10
1417635882.812,1417.635882813,8.862810252303e-10
1417636468.750,1417.636468750,8.806458378763e-10
1417637054.688,1417.637054688,9.223375901853e-10
1417637640.625,1417.637640625,1.012140772236e-09
1417638226.562,1417.638226562,9.542854783875e-10
1417638812.500,1417.638812500,8.511768525482e-10
1417639398.438,1417.639398437,8.518462399755e-10
1417639984.375,1417.639984375,9.943927021098e-10
1417640570.312,1417.640570312,1.292870570629e-09
1417641156.250,1417.641156250,9.821703374573e-10
1417641742.188,1417.641742188,9.192116913825e-10
1417642328.125,1417.642328125,1.049572985241e-09
1417642914.062,1417.642914063,1.481659261316e-09
1417643500.000,1417.643500000,1.869583714401e-09
1417644085.938,1417.644085937,1.172734236770e-09
1417644671.875,1417.644671875,9.308029539543e-10
1417645257.812,1417.645257812,9.148883834193e-10
1417645843.750,1417.645843750,9.185364584940e-10
1417646429.688,1417.646429687,9.284624467455e-10
1417647015.625,1417.647015625,9.371026582333e-10
1417647601.562,1417.647601563,8.889531723369e-10
1417648187.500,1417.648187500,9.104404748993e-10
1417648773.438,1417.648773438,8.879148600643e-10
1417649359.375,1417.649359375,9.023848922816e-10
1417649945.312,1417.649945312,8.948490746975e-10
1417650531.250,1417.650531250,8.677076627711e-10
1417651117.188,1417.651117187,8.752569426598e-10
1417651703.125,1417.651703125,1.018129881925e-09
1417652289.062,1417.652289062,8.795885226250e-10
1417652875.000,1417.652875000,9.491912127767e-10
1417653460.938,1417.653460938,1.999770168664e-09
1417654046.875,1417.654046875,1.715883316944e-09
1417654632.812,1417.654632813,9.058125151646e-10
1417655218.750,1417.655218750,8.369319253601e-10
1417655804.688,1417.655804687,8.439703999757e-10
1417656390.625,1417.656390625,8.639721665626e-10
1417656976.562,1417.656976562,9.431537362140e-10
1417657562.500,1417.657562500,1.184110407754e-09
1417658148.438,1417.658148437,9.987123473234e-10
1417658734.375,1417.658734375,8.686659636876e-10
1417659320.312,1417.659320313,8.483803852372e-10
1417659906.250,1417.659906250,8.841667498978e-10
1417660492.188,1417.660492188,9.717278507901e-10
1417661078.125,1417.661078125,9.093551129504e-10
1417661664.062,1417.661664062,8.664565803902e-10
1417662250.000,1417.662250000,2.673177504542e-09
1417662835.938,1417.662835937,8.757517062166e-09
1417663421.875,1417.663421875,3.204796771745e-09
1417664007.812,1417.664007812,9.145130402204e-10
1417664593.750,1417.664593750,8.563437598293e-10
1417665179.688,1417.665179688,8.714042042407e-10
1417665765.625,1417.665765625,8.920262313466e-10
1417666351.562,1417.666351563,8.757022315893e-10
1417666937.500,1417.666937500,8.881959104323e-10
1417667523.438,1417.667523437,8.824251721326e-10
1417668109.375,1417.668109375,9.120731424740e-10
1417668695.312,1417.668695312,8.939922930645e-10
1417669281.250,1417.669281250,1.007121020109e-09
1417669867.188,1417.669867187,1.128347308637e-09
1417670453.125,1417.670453125,9.137991231087e-10
1417671039.062,1417.671039063,8.817684111725e-10
1417671625.000,1417.671625000,8.523137960674e-10
1417672210.938,1417.672210938,1.111083673350e-09
1417672796.875,1417.672796875,1.834810043936e-09
1417673382.812,1417.673382812,2.073769760003e-09
1417673968.750,1417.673968750,1.123767859038e-09
1417674554.688,1417.674554687,8.812536985919e-10
1417675140.625,1417.675140625,8.994908916897e-10
1417675726.562,1417.675726562,9.430084572503e-10
1417676312.500,1417.676312500,9.520160909134e-10
1417676898.438,1417.676898438,8.616391726651e-10
1417677484.375,1417.677484375,8.965268279742e-10
1417678070.312,1417.678070313,8.838792671934e-10
1417678656.250,1417.678656250,8.487398728215e-10
1417679242.188,1417.679242187,8.571194835425e-10
1417679828.125,1417.679828125,9.495752840532e-10
1417680414.062,1417.680414062,9.149494558850e-10
1417681000.000,1417.681000000,8.717504649561e-10
1417681585.938,1417.681585937,8.795275399127e-10
1417682171.875,1417.682171875,8.700855678237e-10
1417682757.812,1417.682757813,8.884801606178e-10
1417683343.750,1417.683343750,9.148421885475e-10
1417683929.688,1417.683929688,9.596734259472e-10
1417684515.625,1417.684515625,1.073227603637e-09
1417685101.562,1417.685101562,1.052614013513e-09
1417685687.500,1417.685687500,9.221772568937e-10
1417686273.438,1417.686273437,8.655604048956e-10
1417686859.375,1417.686859375,8.979156392093e-10
1417687445.312,1417.687445312,9.202104395304e-10
1417688031.250,1417.688031250,9.193830852244e-10
1417688617.188,1417.688617188,8.857581706502e-10
1417689203.125,1417.689203125,9.569398905130e-10
1417689789.062,1417.689789063,9.408520146885e-10
1417690375.000,1417.690375000,9.284711001510e-10
1417690960.938,1417.690960937,9.177068101055e-10
1417691546.875,1417.691546875,9.616462533268e-10
1417692132.812,1417.692132812,9.719980833310e-10
1417692718.750,1417.692718750,1.116913764713e-09
1417693304.688,1417.693304687,1.057992769641e-09
1417693890.625,1417.693890625,9.854919547566e-10
1417694476.562,1417.694476563,9.864187259795e-10
1417695062.500,1417.695062500,1.035850179237e-09
1417695648.438,1417.695648438,9.455420809714e-10
1417696234.375,1417.696234375,9.497637562822e-10
1417696820.312,1417.696820312,1.070653287454e-09
1417697406.250,1417.697406250,1.040027396456e-09
1417697992.188,1417.697992187,9.479853091653e-10
1417698578.125,1417.698578125,9.743018818184e-10
1417699164.062,1417.699164062,9.936792784422e-10
1417699750.000,1417.699750000,1.021609035455e-09
1417700335.938,1417.700335938,1.003876994956e-09
1417700921.875,1417.700921875,9.866669486215e-10
1417701507.812,1417.701507813,1.116394781887e-09
1417702093.750,1417.702093750,1.252740402811e-09
1417702679.688,1417.702679687,1.049507354765e-09
1417703265.625,1417.703265625,9.789800326373e-10
1417703851.562,1417.703851562,9.410190785242e-10
1417704437.500,1417.704437500,1.047025563313e-09
1417705023.438,1417.705023437,1.151780060041e-09
1417705609.375,1417.705609375,1.059275199259e-09
1417706195.312,1417.706195313,1.021014822824e-09
1417706781.250,1417.706781250,1.009257233580e-09
1417707367.188,1417.707367188,1.036267925121e-09
1417707953.125,1417.707953125,1.040619947325e-09
1417708539.062,1417.708539062,1.116892977867e-09
1417709125.000,1417.709125000,1.249709224834e-09
1417709710.938,1417.709710937,2.674849354756e-09
1417710296.875,1417.710296875,3.784123846052e-09
1417710882.812,1417.710882812,6.091950783763e-09
1417711468.750,1417.711468750,2.383412421471e-09
1417712054.688,1417.712054688,1.367110088812e-09
1417712640.625,1417.712640625,1.075231807482e-09
1417713226.562,1417.713226563,1.001484358065e-09
1417713812.500,1417.713812500,1.047245150440e-09
1417714398.438,1417.714398437,1.109185931906e-09
1417714984.375,1417.714984375,1.154450833665e-09
1417715570.312,1417.715570312,1.078546164730e-09
1417716156.250,1417.716156250,1.152674454217e-09
1417716742.188,1417.716742187,1.227894509359e-09
1417717328.125,1417.717328125,1.077913828250e-09
1417717914.062,1417.717914063,9.806840633921e-10
1417718500.000,1417.718500000,9.457517379749e-10
1417719085.938,1417.719085938,9.890955575624e-10
1417719671.875,1417.719671875,1.010286114954e-09
1417720257.812,1417.720257812,1.046540523805e-09
1417720843.750,1417.720843750,1.065540916411e-09
1417721429.688,1417.721429687,1.061243561901e-09
1417722015.625,1417.722015625,1.079609546320e-09
1417722601.562,1417.722601562,1.077576052605e-09
1417723187.500,1417.723187500,1.017778795582e-09
1417723773.438,1417.723773438,1.195310963917e-09
1417724359.375,1417.724359375,1.175261986928e-09
1417724945.312,1417.724945313,1.306257170587e-09
1417725531.250,1417.725531250,1.137422537996e-09
1417726117.188,1417.726117187,1.112270080022e-09
1417726703.125,1417.726703125,1.116453780380e-09
1417727289.062,1417.727289062,1.006612140608e-09
1417727875.000,1417.727875000,1.071141838486e-09
1417728460.938,1417.728460937,1.069114638370e-09
1417729046.875,1417.729046875,1.201881071346e-09
1417729632.812,1417.729632813,1.165672151018e-09
1417730218.750,1417.730218750,1.128078646416e-09
1417730804.688,1417.730804688,1.192321588232e-09
1417731390.625,1417.731390625,1.143150295655e-09
1417731976.562,1417.731976562,1.142643789942e-09
1417732562.500,1417.732562500,1.200223633517e-09
1417733148.438,1417.733148437,1.141687977331e-09
1417733734.375,1417.733734375,1.169209884549e-09
1417734320.312,1417.734320312,1.136120532987e-09
1417734906.250,1417.734906250,1.114828362827e-09
1417735492.188,1417.735492188,1.263475166583e-09
1417736078.125,1417.736078125,1.219689157095e-09
1417736664.062,1417.736664063,1.075002314874e-09
1417737250.000,1417.737250000,1.137519668313e-09
1417737835.938,1417.737835937,1.100641362408e-09
1417738421.875,1417.738421875,1.166322803054e-09
1417739007.812,1417.739007812,1.138634506490e-09
1417739593.750,1417.739593750,1.120063963874e-09
1417740179.688,1417.740179687,1.208844526711e-09
1417740765.625,1417.740765625,1.296263201574e-09
1417741351.562,1417.741351563,1.172555096578e-09
1417741937.500,1417.741937500,1.074869627876e-09
1417742523.438,1417.742523438,1.116853489949e-09
1417743109.375,1417.743109375,1.214307095263e-09
1417743695.312,1417.743695312,1.466235693659e-09
1417744281.250,1417.744281250,1.557292741156e-09
1417744867.188,1417.744867187,1.184276770354e-09
1417745453.125,1417.745453125,1.129026254091e-09
1417746039.062,1417.746039062,1.131315110714e-09
1417746625.000,1417.746625000,1.149331319220e-09
1417747210.938,1417.747210938,1.127453734256e-09
1417747796.875,1417.747796875,1.186385231396e-09
1417748382.812,1417.748382813,1.302344310832e-09
1417748968.750,1417.748968750,1.355924591650e-09
1417749554.688,1417.749554687,1.382141812678e-09
1417750140.625,1417.750140625,1.336885175398e-09
1417750726.562,1417.750726562,1.183494729294e-09
1417751312.500,1417.751312500,1.122059339200e-09
1417751898.438,1417.751898437,1.219486750752e-09
1417752484.375,1417.752484375,1.208246245673e-09
