# metadata_json,"{""task"":""take_21cm_data"",""timestamp_utc"":""2026-07-20T19:46:26.011210+00:00"",""target_name"":""galactic_plane"",""scan_index"":6,""scan_count"":20,""frequency_index"":1,""frequency_count"":5,""center_freq_hz"":1418805800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}}"
frequency_hz,frequency_mhz,psd_linear_per_hz
1417606000.000,1417.606000000,4.351622989904e-09
1417606585.938,1417.606585938,5.403412128501e-09
1417607171.875,1417.607171875,1.989687396281e-09
1417607757.812,1417.607757813,9.467387066417e-10
1417608343.750,1417.608343750,1.042886354952e-09
1417608929.688,1417.608929687,9.370971344453e-10
1417609515.625,1417.609515625,9.372694683415e-10
1417610101.562,1417.610101562,9.754318474812e-10
1417610687.500,1417.610687500,9.961206680588e-10
1417611273.438,1417.611273437,9.303682981854e-10
1417611859.375,1417.611859375,1.079344193763e-09
1417612445.312,1417.612445313,9.842178183622e-10
1417613031.250,1417.613031250,8.613733742663e-10
1417613617.188,1417.613617188,8.301619385713e-10
1417614203.125,1417.614203125,8.020876106144e-10
1417614789.062,1417.614789062,8.762993677678e-10
1417615375.000,1417.615375000,1.015895782640e-09
1417615960.938,1417.615960937,9.342410946541e-10
1417616546.875,1417.616546875,9.239723856928e-10
1417617132.812,1417.617132812,8.875798420535e-10
1417617718.750,1417.617718750,8.675475047141e-10
1417618304.688,1417.618304688,9.289923484474e-10
1417618890.625,1417.618890625,9.570296193662e-10
1417619476.562,1417.619476563,9.576486267162e-10
1417620062.500,1417.620062500,1.053267766364e-09
1417620648.438,1417.620648437,1.056093530716e-09
1417621234.375,1417.621234375,9.536107264124e-10
1417621820.312,1417.621820312,8.795881963016e-10
1417622406.250,1417.622406250,8.512787974384e-10
1417622992.188,1417.622992187,8.701555064828e-10
1417623578.125,1417.623578125,9.132440982136e-10
1417624164.062,1417.624164063,9.765290313604e-10
1417624750.000,1417.624750000,9.666940845890e-10
1417625335.938,1417.625335938,9.173149939044e-10
1417625921.875,1417.625921875,9.119364577716e-10
1417626507.812,1417.626507812,9.002167095655e-10
1417627093.750,1417.627093750,8.589988803609e-10
1417627679.688,1417.627679687,8.881411475089e-10
1417628265.625,1417.628265625,9.832170260585e-10
1417628851.562,1417.628851562,9.740136203990e-10
1417629437.500,1417.629437500,9.332274553932e-10
1417630023.438,1417.630023438,9.477433830465e-10
1417630609.375,1417.630609375,9.705608293075e-10
1417631195.312,1417.631195313,1.037024876881e-09
1417631781.250,1417.631781250,9.908014407260e-10
1417632367.188,1417.632367187,9.792251023900e-10
1417632953.125,1417.632953125,9.628803385027e-10
1417633539.062,1417.633539062,8.939497620599e-10
1417634125.000,1417.634125000,8.778716320911e-10
1417634710.938,1417.634710937,8.871232902357e-10
1417635296.875,1417.635296875,9.194496289931e-10
1417635882.812,1417.635882813,8.886996941530e-10
1417636468.750,1417.636468750,8.709517722959e-10
1417637054.688,1417.637054688,9.356756644963e-10
1417637640.625,1417.637640625,1.024915160723e-09
1417638226.562,1417.638226562,9.447599221360e-10
1417638812.500,1417.638812500,8.626533823068e-10
1417639398.438,1417.639398437,8.484129510050e-10
1417639984.375,1417.639984375,1.039341780387e-09
1417640570.312,1417.640570312,1.348434756984e-09
1417641156.250,1417.641156250,9.694455485899e-10
1417641742.188,1417.641742188,9.103874386246e-10
1417642328.125,1417.642328125,1.038053535632e-09
1417642914.062,1417.642914063,1.570219128268e-09
1417643500.000,1417.643500000,1.794198491294e-09
1417644085.938,1417.644085937,1.102896979670e-09
1417644671.875,1417.644671875,9.102119419118e-10
1417645257.812,1417.645257812,9.222379512023e-10
1417645843.750,1417.645843750,9.031945811483e-10
1417646429.688,1417.646429687,9.488543989402e-10
1417647015.625,1417.647015625,9.690073636870e-10
1417647601.562,1417.647601563,8.766360932021e-10
1417648187.500,1417.648187500,8.938732035423e-10
1417648773.438,1417.648773438,8.640202363545e-10
1417649359.375,1417.649359375,8.530182744931e-10
1417649945.312,1417.649945312,8.539737537587e-10
1417650531.250,1417.650531250,8.767698973495e-10
1417651117.188,1417.651117187,8.664466300563e-10
1417651703.125,1417.651703125,9.387567697327e-10
1417652289.062,1417.652289062,8.613613791040e-10
1417652875.000,1417.652875000,9.921539303183e-10
1417653460.938,1417.653460938,1.994486643821e-09
1417654046.875,1417.654046875,1.676383361882e-09
1417654632.812,1417.654632813,9.028808970647e-10
1417655218.750,1417.655218750,8.325944554098e-10
1417655804.688,1417.655804687,8.278684923534e-10
1417656390.625,1417.656390625,8.635085077696e-10
1417656976.562,1417.656976562,9.168491168843e-10
1417657562.500,1417.657562500,1.051168618317e-09
1417658148.438,1417.658148437,9.010453275565e-10
1417658734.375,1417.658734375,8.379493461170e-10
1417659320.312,1417.659320313,8.527139971391e-10
1417659906.250,1417.659906250,8.760188968776e-10
1417660492.188,1417.660492188,9.940174356145e-10
1417661078.125,1417.661078125,9.084806359497e-10
1417661664.062,1417.661664062,8.658785049613e-10
1417662250.000,1417.662250000,2.747965105639e-09
1417662835.938,1417.662835937,8.755302405068e-09
1417663421.875,1417.663421875,3.105957895515e-09
1417664007.812,1417.664007812,9.193089338072e-10
1417664593.750,1417.664593750,8.656679150493e-10
1417665179.688,1417.665179688,8.586643708259e-10
1417665765.625,1417.665765625,9.192561096745e-10
1417666351.562,1417.666351563,9.033293739471e-10
1417666937.500,1417.666937500,8.703952892301e-10
