# metadata_json,"{""task"":""take_21cm_data"",""timestamp_utc"":""2026-07-20T19:45:17.623985+00:00"",""target_name"":""galactic_plane"",""scan_index"":2,""scan_count"":20,""frequency_index"":4,""frequency_count"":5,""center_freq_hz"":1421205800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}}"
frequency_hz,frequency_mhz,psd_linear_per_hz
1420006000.000,1420.006000000,3.033839194477e-09
1420006585.938,1420.006585937,3.894637080757e-09
1420007171.875,1420.007171875,2.306190261024e-09
1420007757.812,1420.007757812,9.772305096265e-10
1420008343.750,1420.008343750,9.723977318409e-10
1420008929.688,1420.008929688,9.366931708959e-10
1420009515.625,1420.009515625,9.472615933949e-10
1420010101.562,1420.010101563,9.821429876786e-10
1420010687.500,1420.010687500,9.934256448895e-10
1420011273.438,1420.011273437,9.692946949678e-10
1420011859.375,1420.011859375,1.077866749275e-09
1420012445.312,1420.012445312,1.115316868412e-09
1420013031.250,1420.013031250,9.776713569905e-10
1420013617.188,1420.013617187,9.183605921814e-10
1420014203.125,1420.014203125,8.992677028037e-10
1420014789.062,1420.014789063,9.132449316217e-10
1420015375.000,1420.015375000,1.061663202560e-09
1420015960.938,1420.015960938,1.026663524588e-09
1420016546.875,1420.016546875,9.998305093524e-10
1420017132.812,1420.017132812,9.467401526482e-10
1420017718.750,1420.017718750,9.906480477734e-10
1420018304.688,1420.018304687,1.023856448332e-09
1420018890.625,1420.018890625,1.018665827637e-09
1420019476.562,1420.019476562,9.339787274494e-10
1420020062.500,1420.020062500,9.304277714139e-10
1420020648.438,1420.020648438,9.264006243585e-10
1420021234.375,1420.021234375,9.662693626252e-10
1420021820.312,1420.021820313,9.408520786210e-10
1420022406.250,1420.022406250,9.492991910702e-10
1420022992.188,1420.022992187,1.068460306939e-09
1420023578.125,1420.023578125,9.651095441344e-10
1420024164.062,1420.024164062,1.022243217490e-09
1420024750.000,1420.024750000,9.769874680644e-10
1420025335.938,1420.025335937,9.927812956295e-10
1420025921.875,1420.025921875,1.127009783362e-09
1420026507.812,1420.026507813,1.172084042785e-09
1420027093.750,1420.027093750,9.548065817942e-10
1420027679.688,1420.027679688,8.759371921303e-10
1420028265.625,1420.028265625,9.092544996469e-10
1420028851.562,1420.028851562,9.391201466424e-10
1420029437.500,1420.029437500,9.677058914132e-10
1420030023.438,1420.030023437,1.000719744738e-09
1420030609.375,1420.030609375,9.792532503194e-10
1420031195.312,1420.031195312,9.876726331985e-10
1420031781.250,1420.031781250,9.770737426310e-10
1420032367.188,1420.032367188,9.380114033405e-10
1420032953.125,1420.032953125,9.999373558124e-10
1420033539.062,1420.033539063,9.948798452562e-10
1420034125.000,1420.034125000,9.627833025725e-10
1420034710.938,1420.034710937,9.479536255791e-10
1420035296.875,1420.035296875,1.360683221465e-09
1420035882.812,1420.035882812,3.190763159810e-09
1420036468.750,1420.036468750,1.892413141808e-09
1420037054.688,1420.037054687,9.806078554216e-10
1420037640.625,1420.037640625,9.354267129803e-10
1420038226.562,1420.038226563,1.031645188343e-09
1420038812.500,1420.038812500,9.693111296104e-10
1420039398.438,1420.039398438,8.899328760549e-10
1420039984.375,1420.039984375,9.246808641998e-10
1420040570.312,1420.040570312,9.474408230221e-10
1420041156.250,1420.041156250,9.287182368600e-10
1420041742.188,1420.041742187,9.117797586263e-10
1420042328.125,1420.042328125,1.004208057621e-09
1420042914.062,1420.042914062,9.112123045075e-10
1420043500.000,1420.043500000,9.094553287880e-10
1420044085.938,1420.044085938,9.697248770467e-10
1420044671.875,1420.044671875,9.699370463441e-10
1420045257.812,1420.045257813,9.091290959488e-10
1420045843.750,1420.045843750,9.022728063485e-10
1420046429.688,1420.046429687,8.754811550448e-10
1420047015.625,1420.047015625,9.109760527898e-10
1420047601.562,1420.047601562,8.902350862675e-10
1420048187.500,1420.048187500,9.282807019320e-10
1420048773.438,1420.048773437,9.159497819145e-10
1420049359.375,1420.049359375,8.689930883898e-10
1420049945.312,1420.049945313,9.587907468591e-10
1420050531.250,1420.050531250,9.674829477523e-10
1420051117.188,1420.051117188,8.810958133026e-10
1420051703.125,1420.051703125,8.833279415400e-10
1420052289.062,1420.052289062,8.441863216915e-10
1420052875.000,1420.052875000,9.323909675941e-10
1420053460.938,1420.053460937,2.478469800932e-09
1420054046.875,1420.054046875,3.286569107771e-09
1420054632.812,1420.054632812,1.115879666737e-09
1420055218.750,1420.055218750,9.315755518489e-10
1420055804.688,1420.055804688,8.779139757492e-10
1420056390.625,1420.056390625,8.561140661864e-10
1420056976.562,1420.056976563,8.547791958885e-10
1420057562.500,1420.057562500,9.189616061448e-10
1420058148.438,1420.058148437,8.766002427371e-10
1420058734.375,1420.058734375,9.175763593363e-10
1420059320.312,1420.059320312,9.183354297079e-10
1420059906.250,1420.059906250,9.128317456292e-10
1420060492.188,1420.060492187,9.028971711749e-10
1420061078.125,1420.061078125,8.560032216641e-10
1420061664.062,1420.061664063,8.280874285695e-10
1420062250.000,1420.062250000,8.479122792404e-10
1420062835.938,1420.062835938,8.937612700928e-10
1420063421.875,1420.063421875,9.921250177113e-10
1420064007.812,1420.064007812,1.003114510692e-09
1420064593.750,1420.064593750,9.487768750501e-10
1420065179.688,1420.065179687,8.718279560455e-10
1420065765.625,1420.065765625,9.100413372188e-10
1420066351.562,1420.066351562,9.282791029235e-10
1420066937.500,1420.066937500,9.605010072403e-10
1420067523.438,1420.067523438,1.033154928737e-09
1420068109.375,1420.068109375,9.748809860048e-10
1420068695.312,1420.068695313,9.721384816763e-10
1420069281.250,1420.069281250,9.831124937120e-10
1420069867.188,1420.069867187,9.036563806621e-10
1420070453.125,1420.070453125,9.297278248450e-10
1420071039.062,1420.071039062,9.186046693955e-10
1420071625.000,1420.071625000,9.396021385362e-10
1420072210.938,1420.072210937,1.028273413745e-09
1420072796.875,1420.072796875,1.845288640095e-09
1420073382.812,1420.073382813,5.364676474614e-09
1420073968.750,1420.073968750,2.740721761244e-09
1420074554.688,1420.074554688,1.068376696522e-09
1420075140.625,1420.075140625,1.049213363716e-09
1420075726.562,1420.075726562,1.069955619904e-09
1420076312.500,1420.076312500,1.001133369623e-09
1420076898.438,1420.076898437,9.800048442599e-10
1420077484.375,1420.077484375,9.669214463899e-10
1420078070.312,1420.078070312,1.061882986630e-09
1420078656.250,1420.078656250,9.807451071845e-10
1420079242.188,1420.079242188,9.445880969476e-10
1420079828.125,1420.079828125,1.008331241873e-09
1420080414.062,1420.080414063,1.055898174594e-09
1420081000.000,1420.081000000,9.461884289870e-10
1420081585.938,1420.081585937,9.349597451806e-10
1420082171.875,1420.082171875,8.923361616586e-10
1420082757.812,1420.082757812,9.604812308037e-10
1420083343.750,1420.083343750,9.042698231583e-10
1420083929.688,1420.083929687,8.784047812449e-10
1420084515.625,1420.084515625,8.295835815478e-10
1420085101.562,1420.085101563,8.608468631554e-10
1420085687.500,1420.085687500,9.136851163485e-10
1420086273.438,1420.086273438,8.647731818755e-10
1420086859.375,1420.086859375,9.348443154101e-10
