# metadata_json,"{""task"":""take_21cm_data"",""timestamp_utc"":""2026-07-20T19:50:45.094514+00:00"",""target_name"":""galactic_plane"",""scan_index"":18,""scan_count"":20,""frequency_index"":5,""frequency_count"":5,""center_freq_hz"":1422005800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}}"
frequency_hz,frequency_mhz,psd_linear_per_hz
1420806000.000,1420.806000000,1.062048756051e-09
1420806585.938,1420.806585937,1.071896465602e-09
1420807171.875,1420.807171875,9.488565622654e-10
1420807757.812,1420.807757813,8.978228221665e-10
1420808343.750,1420.808343750,8.490871079592e-10
1420808929.688,1420.808929688,8.558282791276e-10
1420809515.625,1420.809515625,9.095776295927e-10
1420810101.562,1420.810101562,8.880357679353e-10
1420810687.500,1420.810687500,8.708754744017e-10
1420811273.438,1420.811273437,1.198534342705e-09
1420811859.375,1420.811859375,1.071875048691e-09
1420812445.312,1420.812445312,9.176168805845e-10
1420813031.250,1420.813031250,8.746230949081e-10
1420813617.188,1420.813617188,8.680224632017e-10
1420814203.125,1420.814203125,9.377272871147e-10
1420814789.062,1420.814789063,9.495712829274e-10
1420815375.000,1420.815375000,8.814828835645e-10
1420815960.938,1420.815960937,9.811230643173e-10
1420816546.875,1420.816546875,1.002779624388e-09
1420817132.812,1420.817132812,9.442947081226e-10
1420817718.750,1420.817718750,9.479083994911e-10
1420818304.688,1420.818304687,9.164822501186e-10
1420818890.625,1420.818890625,8.419146386078e-10
1420819476.562,1420.819476563,8.556629200727e-10
1420820062.500,1420.820062500,8.834556722427e-10
1420820648.438,1420.820648438,9.073626042648e-10
1420821234.375,1420.821234375,9.562924050470e-10
1420821820.312,1420.821820312,9.037467309046e-10
1420822406.250,1420.822406250,8.485912885238e-10
1420822992.188,1420.822992187,9.006063230061e-10
1420823578.125,1420.823578125,9.906939609767e-10
1420824164.062,1420.824164062,1.073150368389e-09
1420824750.000,1420.824750000,1.027041068805e-09
1420825335.938,1420.825335938,8.453378671609e-10
1420825921.875,1420.825921875,8.843101215957e-10
1420826507.812,1420.826507813,9.825498775740e-10
1420827093.750,1420.827093750,8.908561469628e-10
1420827679.688,1420.827679687,8.286961615157e-10
1420828265.625,1420.828265625,8.211710441842e-10
1420828851.562,1420.828851562,1.206780895532e-09
1420829437.500,1420.829437500,2.594384830611e-09
1420830023.438,1420.830023437,1.361048754067e-09
1420830609.375,1420.830609375,8.360361529587e-10
1420831195.312,1420.831195313,8.578460171074e-10
1420831781.250,1420.831781250,8.670569596194e-10
1420832367.188,1420.832367188,8.898887585756e-10
1420832953.125,1420.832953125,8.212282799343e-10
1420833539.062,1420.833539062,8.300183576447e-10
1420834125.000,1420.834125000,8.123125141857e-10
1420834710.938,1420.834710937,8.022160515650e-10
