# metadata_json,"{""task"":""analyze_sky_vs_50ohm"",""timestamp_utc"":""2026-06-17T00:33:11.295832+00:00"",""center_freq_hz"":1421205800,""ratio"":""sky_psd_linear_per_hz / calibration_psd_linear_per_hz"",""sky_data_dir"":""../data/commiss_21cm_data_061626"",""calibration_data_dir"":""../data/commiss_50ohm_data_061626"",""sky_scan_count"":5,""calibration_scan_count"":5,""sky_source_files"":[""../data/commiss_21cm_data_061626/2026-06-17T00-05-31.325128+00-00_galactic_plane_scan001_fc1421205800.csv"",""../data/commiss_21cm_data_061626/2026-06-17T00-05-52.078317+00-00_galactic_plane_scan002_fc1421205800.csv"",""../data/commiss_21cm_data_061626/2026-06-17T00-06-12.897079+00-00_galactic_plane_scan003_fc1421205800.csv"",""../data/commiss_21cm_data_061626/2026-06-17T00-06-33.602760+00-00_galactic_plane_scan004_fc1421205800.csv"",""../data/commiss_21cm_data_061626/2026-06-17T00-06-54.357652+00-00_galactic_plane_scan005_fc1421205800.csv""],""calibration_source_files"":[""../data/commiss_50ohm_data_061626/2026-06-17T00-02-22.291556+00-00_50ohm_termination_scan001_fc1421205800.csv"",""../data/commiss_50ohm_data_061626/2026-06-17T00-02-42.977907+00-00_50ohm_termination_scan002_fc1421205800.csv"",""../data/commiss_50ohm_data_061626/2026-06-17T00-03-03.717139+00-00_50ohm_termination_scan003_fc1421205800.csv"",""../data/commiss_50ohm_data_061626/2026-06-17T00-03-24.474795+00-00_50ohm_termination_scan004_fc1421205800.csv"",""../data/commiss_50ohm_data_061626/2026-06-17T00-03-45.229081+00-00_50ohm_termination_scan005_fc1421205800.csv""],""sky_observations"":[{""task"":""take_21cm_data"",""timestamp_utc"":""2026-06-17T00:05:31.325192+00:00"",""target_name"":""galactic_plane"",""scan_index"":1,""scan_count"":5,""frequency_index"":4,""frequency_count"":5,""center_freq_hz"":1421205800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}},{""task"":""take_21cm_data"",""timestamp_utc"":""2026-06-17T00:05:52.078379+00:00"",""target_name"":""galactic_plane"",""scan_index"":2,""scan_count"":5,""frequency_index"":4,""frequency_count"":5,""center_freq_hz"":1421205800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}},{""task"":""take_21cm_data"",""timestamp_utc"":""2026-06-17T00:06:12.897139+00:00"",""target_name"":""galactic_plane"",""scan_index"":3,""scan_count"":5,""frequency_index"":4,""frequency_count"":5,""center_freq_hz"":1421205800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}},{""task"":""take_21cm_data"",""timestamp_utc"":""2026-06-17T00:06:33.602824+00:00"",""target_name"":""galactic_plane"",""scan_index"":4,""scan_count"":5,""frequency_index"":4,""frequency_count"":5,""center_freq_hz"":1421205800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}},{""task"":""take_21cm_data"",""timestamp_utc"":""2026-06-17T00:06:54.357715+00:00"",""target_name"":""galactic_plane"",""scan_index"":5,""scan_count"":5,""frequency_index"":4,""frequency_count"":5,""center_freq_hz"":1421205800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}}],""calibration_observations"":[{""task"":""take_50ohm_data"",""timestamp_utc"":""2026-06-17T00:02:22.291618+00:00"",""load_label"":""50ohm_termination"",""scan_index"":1,""scan_count"":5,""frequency_index"":4,""frequency_count"":5,""center_freq_hz"":1421205800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}},{""task"":""take_50ohm_data"",""timestamp_utc"":""2026-06-17T00:02:42.977970+00:00"",""load_label"":""50ohm_termination"",""scan_index"":2,""scan_count"":5,""frequency_index"":4,""frequency_count"":5,""center_freq_hz"":1421205800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}},{""task"":""take_50ohm_data"",""timestamp_utc"":""2026-06-17T00:03:03.717199+00:00"",""load_label"":""50ohm_termination"",""scan_index"":3,""scan_count"":5,""frequency_index"":4,""frequency_count"":5,""center_freq_hz"":1421205800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}},{""task"":""take_50ohm_data"",""timestamp_utc"":""2026-06-17T00:03:24.474856+00:00"",""load_label"":""50ohm_termination"",""scan_index"":4,""scan_count"":5,""frequency_index"":4,""frequency_count"":5,""center_freq_hz"":1421205800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}},{""task"":""take_50ohm_data"",""timestamp_utc"":""2026-06-17T00:03:45.229142+00:00"",""load_label"":""50ohm_termination"",""scan_index"":5,""scan_count"":5,""frequency_index"":4,""frequency_count"":5,""center_freq_hz"":1421205800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}}]}"
frequency_hz,frequency_mhz,sky_psd_linear_per_hz,calibration_psd_linear_per_hz,sky_over_50ohm
1420042914.062,1420.042914062,4.854694992701e-10,2.883145938834e-10,1.683818681292e+00
1420043500.000,1420.043500000,4.807459552793e-10,2.907148281830e-10,1.653668504920e+00
1420044085.938,1420.044085938,4.805682972849e-10,2.896523650560e-10,1.659120916178e+00
1420044671.875,1420.044671875,4.803703384614e-10,2.899489986367e-10,1.656740808625e+00
1420045257.812,1420.045257812,4.632419495891e-10,2.856490565788e-10,1.621717064769e+00
1420045843.750,1420.045843750,4.473662584405e-10,2.878408864668e-10,1.554213732218e+00
1420046429.688,1420.046429688,4.595215449145e-10,2.888088359882e-10,1.591092403189e+00
1420047015.625,1420.047015625,4.704504226922e-10,2.885237173376e-10,1.630543329447e+00
1420047601.562,1420.047601562,4.567047985912e-10,2.867839557261e-10,1.592504704229e+00
1420048187.500,1420.048187500,4.525882713409e-10,2.856775923083e-10,1.584262411636e+00
1420048773.438,1420.048773438,4.771765521647e-10,2.836698834952e-10,1.682154433475e+00
1420049359.375,1420.049359375,4.785753967681e-10,2.847121429332e-10,1.680909678939e+00
1420049945.312,1420.049945312,4.797601437881e-10,2.861608326529e-10,1.676540214607e+00
1420050531.250,1420.050531250,4.912669896942e-10,2.881025667748e-10,1.705180884689e+00
1420051117.188,1420.051117188,5.025403949140e-10,2.878285470710e-10,1.745971343107e+00
1420051703.125,1420.051703125,5.086771210494e-10,2.852496323483e-10,1.783270032153e+00
1420052289.062,1420.052289062,4.948946348850e-10,2.847910471886e-10,1.737746462785e+00
1420052875.000,1420.052875000,5.347432933619e-10,2.866950032776e-10,1.865199209084e+00
1420053460.938,1420.053460938,5.687953958685e-10,2.868979732371e-10,1.982570282567e+00
1420054046.875,1420.054046875,5.420268442277e-10,2.874076280453e-10,1.885916695789e+00
1420054632.812,1420.054632812,5.246320114005e-10,2.861824696015e-10,1.833208065229e+00
1420055218.750,1420.055218750,5.086436065287e-10,2.839015577319e-10,1.791619639541e+00
1420055804.688,1420.055804688,5.118151423633e-10,2.878830649741e-10,1.777857764608e+00
1420056390.625,1420.056390625,5.283788542979e-10,2.906547302246e-10,1.817891812356e+00
1420056976.562,1420.056976562,5.618937645764e-10,2.903491878529e-10,1.935234497233e+00
1420057562.500,1420.057562500,5.474542674536e-10,2.912176075968e-10,1.879880382136e+00
1420058148.438,1420.058148438,4.957125627841e-10,2.881357790046e-10,1.720413079197e+00
1420058734.375,1420.058734375,4.901838086813e-10,2.851221503902e-10,1.719206340197e+00
1420059320.312,1420.059320312,4.599948285970e-10,2.841890678711e-10,1.618622531974e+00
1420059906.250,1420.059906250,4.721922473943e-10,2.862082500176e-10,1.649820532305e+00
1420060492.188,1420.060492188,4.838031898305e-10,2.887557365659e-10,1.675475596032e+00
1420061078.125,1420.061078125,4.688289130876e-10,2.895520308703e-10,1.619152563629e+00
1420061664.062,1420.061664062,4.534514022119e-10,2.879944512945e-10,1.574514370585e+00
1420062250.000,1420.062250000,4.374058050310e-10,2.914078190992e-10,1.501009157486e+00
1420062835.938,1420.062835938,4.425552053693e-10,2.879250395493e-10,1.537050081028e+00
1420063421.875,1420.063421875,4.447087566235e-10,2.874108970189e-10,1.547292608722e+00
1420064007.812,1420.064007812,4.454917232726e-10,2.890306336437e-10,1.541330473024e+00
1420064593.750,1420.064593750,4.618310994788e-10,2.854925328850e-10,1.617664373957e+00
1420065179.688,1420.065179688,4.736483295254e-10,2.902091859830e-10,1.632092822704e+00
1420065765.625,1420.065765625,4.754188667287e-10,2.881380561407e-10,1.649969022129e+00
1420066351.562,1420.066351562,4.924265970571e-10,2.884236288463e-10,1.707303243589e+00
1420066937.500,1420.066937500,4.884158047364e-10,2.881026855226e-10,1.695283762629e+00
1420067523.438,1420.067523438,4.933257552485e-10,2.885218627103e-10,1.709838383180e+00
1420068109.375,1420.068109375,5.091554809502e-10,2.871294427487e-10,1.773261132944e+00
1420068695.312,1420.068695312,5.024367327121e-10,2.913070650641e-10,1.724766725453e+00
1420069281.250,1420.069281250,4.977319493948e-10,2.928621303134e-10,1.699543566327e+00
1420069867.188,1420.069867188,4.974798084700e-10,2.920852738532e-10,1.703200582170e+00
1420070453.125,1420.070453125,4.958052183784e-10,2.931236291096e-10,1.691454284612e+00
1420071039.062,1420.071039062,4.872595464265e-10,2.920750622132e-10,1.668268227812e+00
1420071625.000,1420.071625000,4.969447134538e-10,2.910228564442e-10,1.707579670977e+00
1420072210.938,1420.072210938,4.867510327014e-10,2.933007546094e-10,1.659562837981e+00
1420072796.875,1420.072796875,4.707953183723e-10,2.959881406460e-10,1.590588451770e+00
1420073382.812,1420.073382812,4.603299641657e-10,2.945979796192e-10,1.562569997122e+00
1420073968.750,1420.073968750,4.532007869852e-10,2.907570079103e-10,1.558692566836e+00
1420074554.688,1420.074554688,4.375162226687e-10,2.920164067349e-10,1.498259044965e+00
1420075140.625,1420.075140625,4.269162327509e-10,2.938035956460e-10,1.453066739405e+00
1420075726.562,1420.075726562,4.379402783776e-10,2.944086633295e-10,1.487525106853e+00
1420076312.500,1420.076312500,4.441424598968e-10,2.912926140214e-10,1.524729562365e+00
1420076898.438,1420.076898438,4.367854822729e-10,2.917629285929e-10,1.497056135197e+00
1420077484.375,1420.077484375,4.281685263351e-10,2.955547112167e-10,1.448694641248e+00
1420078070.312,1420.078070312,4.318077190875e-10,2.988524243044e-10,1.444886117596e+00
1420078656.250,1420.078656250,4.468147853647e-10,2.981495106293e-10,1.498626593154e+00
1420079242.188,1420.079242188,4.678333567148e-10,2.964082022801e-10,1.578341466653e+00
