# metadata_json,"{""task"":""analyze_sky_vs_50ohm"",""timestamp_utc"":""2026-06-17T00:33:11.509171+00:00"",""product"":""stitched_sky_over_50ohm"",""ratio"":""sky_psd_linear_per_hz / calibration_psd_linear_per_hz"",""stitch_method"":""mean ratio in uniform frequency bins"",""stitched_bin_width_hz"":5000.0,""center_freqs_hz"":[1418805800,1419605800,1420405800,1421205800,1422005800],""sky_data_dir"":""../data/commiss_21cm_data_061626"",""calibration_data_dir"":""../data/commiss_50ohm_data_061626"",""sky_scan_count"":25,""calibration_scan_count"":25}"
frequency_hz,frequency_mhz,sky_over_50ohm,n_points_averaged
1418083539.062,1418.083539062,1.236464657993e+00,9
1418088519.531,1418.088519531,1.311323877127e+00,8
1418093500.000,1418.093500000,1.252761852708e+00,9
1418098480.469,1418.098480469,1.270579054947e+00,8
1418103460.938,1418.103460938,1.368241327723e+00,9
1418108441.406,1418.108441406,1.285617152038e+00,8
1418113421.875,1418.113421875,1.268757361804e+00,9
1418118402.344,1418.118402344,1.350745973215e+00,8
1418123382.812,1418.123382812,1.295631999284e+00,9
1418128363.281,1418.128363281,1.274949277463e+00,8
1418133343.750,1418.133343750,1.344362387430e+00,9
1418138617.188,1418.138617188,1.282931317336e+00,9
1418143597.656,1418.143597656,1.259817772976e+00,8
1418148578.125,1418.148578125,1.359679591426e+00,9
1418153558.594,1418.153558594,1.307618407382e+00,8
1418158539.062,1418.158539062,1.266930021173e+00,9
1418163519.531,1418.163519531,1.390897507689e+00,8
1418168500.000,1418.168500000,1.304095604428e+00,9
1418173480.469,1418.173480469,1.238655687486e+00,8
1418178460.938,1418.178460938,1.316316605652e+00,9
1418183441.406,1418.183441406,1.255579575745e+00,8
1418188421.875,1418.188421875,1.268039455183e+00,9
1418193402.344,1418.193402344,1.383491781745e+00,8
1418198382.812,1418.198382812,1.283926400115e+00,9
1418203363.281,1418.203363281,1.237587053524e+00,8
1418208343.750,1418.208343750,1.320539338915e+00,9
1418213617.188,1418.213617188,1.280104318490e+00,9
1418218597.656,1418.218597656,1.276028736968e+00,8
1418223578.125,1418.223578125,1.347841585788e+00,9
1418228558.594,1418.228558594,1.256346709027e+00,8
1418233539.062,1418.233539062,1.284830200545e+00,9
1418238519.531,1418.238519531,1.375410361582e+00,8
1418243500.000,1418.243500000,1.288718424852e+00,9
1418248480.469,1418.248480469,1.263464869033e+00,8
1418253460.938,1418.253460938,1.366970705472e+00,9
1418258441.406,1418.258441406,1.322965865490e+00,8
1418263421.875,1418.263421875,1.238835253106e+00,9
1418268402.344,1418.268402344,1.300502702139e+00,8
1418273382.812,1418.273382812,1.248236782424e+00,9
1418278363.281,1418.278363281,1.258711599128e+00,8
1418283343.750,1418.283343750,1.368429096222e+00,9
1418288617.188,1418.288617188,1.295455199864e+00,9
1418293597.656,1418.293597656,1.251443881814e+00,8
1418298578.125,1418.298578125,1.321234895330e+00,9
1418303558.594,1418.303558594,1.281553893757e+00,8
1418308539.062,1418.308539062,1.270498321840e+00,9
1418313519.531,1418.313519531,1.365827933475e+00,8
