# metadata_json,"{""task"":""analyze_sky_vs_50ohm"",""timestamp_utc"":""2026-06-17T00:33:11.279566+00:00"",""center_freq_hz"":1419605800,""ratio"":""sky_psd_linear_per_hz / calibration_psd_linear_per_hz"",""sky_data_dir"":""../data/commiss_21cm_data_061626"",""calibration_data_dir"":""../data/commiss_50ohm_data_061626"",""sky_scan_count"":5,""calibration_scan_count"":5,""sky_source_files"":[""../data/commiss_21cm_data_061626/2026-06-17T00-05-23.036937+00-00_galactic_plane_scan001_fc1419605800.csv"",""../data/commiss_21cm_data_061626/2026-06-17T00-05-43.780254+00-00_galactic_plane_scan002_fc1419605800.csv"",""../data/commiss_21cm_data_061626/2026-06-17T00-06-04.548974+00-00_galactic_plane_scan003_fc1419605800.csv"",""../data/commiss_21cm_data_061626/2026-06-17T00-06-25.366459+00-00_galactic_plane_scan004_fc1419605800.csv"",""../data/commiss_21cm_data_061626/2026-06-17T00-06-46.066938+00-00_galactic_plane_scan005_fc1419605800.csv""],""calibration_source_files"":[""../data/commiss_50ohm_data_061626/2026-06-17T00-02-13.997802+00-00_50ohm_termination_scan001_fc1419605800.csv"",""../data/commiss_50ohm_data_061626/2026-06-17T00-02-34.736866+00-00_50ohm_termination_scan002_fc1419605800.csv"",""../data/commiss_50ohm_data_061626/2026-06-17T00-02-55.413740+00-00_50ohm_termination_scan003_fc1419605800.csv"",""../data/commiss_50ohm_data_061626/2026-06-17T00-03-16.167557+00-00_50ohm_termination_scan004_fc1419605800.csv"",""../data/commiss_50ohm_data_061626/2026-06-17T00-03-36.917887+00-00_50ohm_termination_scan005_fc1419605800.csv""],""sky_observations"":[{""task"":""take_21cm_data"",""timestamp_utc"":""2026-06-17T00:05:23.037000+00:00"",""target_name"":""galactic_plane"",""scan_index"":1,""scan_count"":5,""frequency_index"":2,""frequency_count"":5,""center_freq_hz"":1419605800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}},{""task"":""take_21cm_data"",""timestamp_utc"":""2026-06-17T00:05:43.780312+00:00"",""target_name"":""galactic_plane"",""scan_index"":2,""scan_count"":5,""frequency_index"":2,""frequency_count"":5,""center_freq_hz"":1419605800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}},{""task"":""take_21cm_data"",""timestamp_utc"":""2026-06-17T00:06:04.549037+00:00"",""target_name"":""galactic_plane"",""scan_index"":3,""scan_count"":5,""frequency_index"":2,""frequency_count"":5,""center_freq_hz"":1419605800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}},{""task"":""take_21cm_data"",""timestamp_utc"":""2026-06-17T00:06:25.366521+00:00"",""target_name"":""galactic_plane"",""scan_index"":4,""scan_count"":5,""frequency_index"":2,""frequency_count"":5,""center_freq_hz"":1419605800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}},{""task"":""take_21cm_data"",""timestamp_utc"":""2026-06-17T00:06:46.067000+00:00"",""target_name"":""galactic_plane"",""scan_index"":5,""scan_count"":5,""frequency_index"":2,""frequency_count"":5,""center_freq_hz"":1419605800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}}],""calibration_observations"":[{""task"":""take_50ohm_data"",""timestamp_utc"":""2026-06-17T00:02:13.997862+00:00"",""load_label"":""50ohm_termination"",""scan_index"":1,""scan_count"":5,""frequency_index"":2,""frequency_count"":5,""center_freq_hz"":1419605800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}},{""task"":""take_50ohm_data"",""timestamp_utc"":""2026-06-17T00:02:34.736925+00:00"",""load_label"":""50ohm_termination"",""scan_index"":2,""scan_count"":5,""frequency_index"":2,""frequency_count"":5,""center_freq_hz"":1419605800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}},{""task"":""take_50ohm_data"",""timestamp_utc"":""2026-06-17T00:02:55.413801+00:00"",""load_label"":""50ohm_termination"",""scan_index"":3,""scan_count"":5,""frequency_index"":2,""frequency_count"":5,""center_freq_hz"":1419605800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}},{""task"":""take_50ohm_data"",""timestamp_utc"":""2026-06-17T00:03:16.167619+00:00"",""load_label"":""50ohm_termination"",""scan_index"":4,""scan_count"":5,""frequency_index"":2,""frequency_count"":5,""center_freq_hz"":1419605800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}},{""task"":""take_50ohm_data"",""timestamp_utc"":""2026-06-17T00:03:36.917946+00:00"",""load_label"":""50ohm_termination"",""scan_index"":5,""scan_count"":5,""frequency_index"":2,""frequency_count"":5,""center_freq_hz"":1419605800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}}]}"
frequency_hz,frequency_mhz,sky_psd_linear_per_hz,calibration_psd_linear_per_hz,sky_over_50ohm
1418406000.000,1418.406000000,6.303003615431e-10,3.081009028067e-10,2.045759541116e+00
1418406585.938,1418.406585938,6.135697145576e-10,3.085176033884e-10,1.988767278816e+00
1418407171.875,1418.407171875,5.933752276024e-10,3.049527733545e-10,1.945793839076e+00
1418407757.812,1418.407757812,5.845525905150e-10,3.071652375054e-10,1.903055812117e+00
1418408343.750,1418.408343750,5.726257556587e-10,3.084237661522e-10,1.856620074395e+00
1418408929.688,1418.408929688,5.568087856561e-10,3.078736911283e-10,1.808562412772e+00
1418409515.625,1418.409515625,5.515306864339e-10,3.066127588231e-10,1.798785831845e+00
1418410101.562,1418.410101562,5.424013237267e-10,3.067292505366e-10,1.768339089858e+00
1418410687.500,1418.410687500,5.417417852080e-10,3.057940663205e-10,1.771590246098e+00
1418411273.438,1418.411273438,5.309987853153e-10,3.047518268840e-10,1.742397381977e+00
1418411859.375,1418.411859375,5.266956585702e-10,3.063137010095e-10,1.719464904229e+00
1418412445.312,1418.412445312,5.345312326321e-10,3.054057506510e-10,1.750233030952e+00
1418413031.250,1418.413031250,5.502171957041e-10,3.051653989910e-10,1.803013046444e+00
1418413617.188,1418.413617188,5.604912986215e-10,3.036488009123e-10,1.845853818416e+00
1418414203.125,1418.414203125,5.473610633091e-10,3.045807976841e-10,1.797096427191e+00
1418414789.062,1418.414789062,5.497990407728e-10,3.001837716663e-10,1.831541517787e+00
1418415375.000,1418.415375000,5.755909702579e-10,3.027794370738e-10,1.901023979108e+00
1418415960.938,1418.415960938,5.928456444750e-10,3.014501076883e-10,1.966645986698e+00
1418416546.875,1418.416546875,5.896798502306e-10,3.035665053845e-10,1.942506303466e+00
1418417132.812,1418.417132812,5.826755221232e-10,3.017438836996e-10,1.931026786622e+00
1418417718.750,1418.417718750,5.972954137951e-10,3.014725863266e-10,1.981259460680e+00
1418418304.688,1418.418304688,6.166947443293e-10,3.026607730342e-10,2.037577377956e+00
1418418890.625,1418.418890625,6.157601217334e-10,3.013252118099e-10,2.043506807926e+00
1418419476.562,1418.419476562,6.128696361927e-10,3.001315663500e-10,2.042003257591e+00
1418420062.500,1418.420062500,6.116618298025e-10,2.985832349283e-10,2.048547132760e+00
1418420648.438,1418.420648438,6.152602000776e-10,2.943551854255e-10,2.090196573871e+00
1418421234.375,1418.421234375,5.951122384890e-10,2.968418870044e-10,2.004812206574e+00
1418421820.312,1418.421820312,5.790662018818e-10,2.981207066090e-10,1.942388398540e+00
1418422406.250,1418.422406250,5.754220237998e-10,2.977483224013e-10,1.932578558828e+00
1418422992.188,1418.422992188,5.584848113841e-10,2.964711012177e-10,1.883774874145e+00
1418423578.125,1418.423578125,5.500700863144e-10,2.978866791443e-10,1.846574972384e+00
1418424164.062,1418.424164062,5.371036624362e-10,2.948973976920e-10,1.821323845649e+00
1418424750.000,1418.424750000,5.249720447348e-10,2.965964162905e-10,1.769987821500e+00
1418425335.938,1418.425335938,5.155103910019e-10,2.994119420386e-10,1.721742918776e+00
1418425921.875,1418.425921875,5.207916329432e-10,3.003069352690e-10,1.734197821561e+00
1418426507.812,1418.426507812,5.388001811575e-10,2.986407716581e-10,1.804174889336e+00
1418427093.750,1418.427093750,5.417632655131e-10,2.932193871052e-10,1.847637943936e+00
1418427679.688,1418.427679688,5.399694370175e-10,2.934748927767e-10,1.839916975209e+00
1418428265.625,1418.428265625,5.187068856630e-10,3.008590727665e-10,1.724085901393e+00
1418428851.562,1418.428851562,5.259403146988e-10,2.985805856075e-10,1.761468561757e+00
1418429437.500,1418.429437500,5.537005314114e-10,2.954177555533e-10,1.874296723886e+00
1418430023.438,1418.430023438,5.677444259808e-10,2.961794961284e-10,1.916893078023e+00
1418430609.375,1418.430609375,5.614639853758e-10,2.989905733105e-10,1.877865175344e+00
1418431195.312,1418.431195312,5.868764889061e-10,2.972202466456e-10,1.974550844128e+00
1418431781.250,1418.431781250,5.894955185970e-10,2.954842252557e-10,1.995015192729e+00
1418432367.188,1418.432367188,5.854686605875e-10,2.965287787491e-10,1.974407553484e+00
1418432953.125,1418.432953125,6.064060727860e-10,2.957490114148e-10,2.050407776124e+00
1418433539.062,1418.433539062,6.019388314144e-10,2.968964780894e-10,2.027436752662e+00
1418434125.000,1418.434125000,5.790519575572e-10,2.981185242270e-10,1.942354837086e+00
1418434710.938,1418.434710938,5.875762208640e-10,2.978355182154e-10,1.972821187966e+00
1418435296.875,1418.435296875,5.905382754279e-10,2.959284360666e-10,1.995544204123e+00
1418435882.812,1418.435882812,5.883939315304e-10,2.957860902435e-10,1.989254907308e+00
1418436468.750,1418.436468750,5.722396950054e-10,2.963220562595e-10,1.931141077478e+00
1418437054.688,1418.437054688,5.729224421719e-10,2.949783816361e-10,1.942252306743e+00
1418437640.625,1418.437640625,5.518251371560e-10,2.924598609604e-10,1.886840591881e+00
1418438226.562,1418.438226562,5.303003107479e-10,2.940495629383e-10,1.803438527332e+00
1418438812.500,1418.438812500,5.262793888128e-10,2.970693023302e-10,1.771571093629e+00
1418439398.438,1418.439398438,5.332035115759e-10,2.949736617361e-10,1.807630920122e+00
1418439984.375,1418.439984375,5.332626198306e-10,2.928448753841e-10,1.820973029257e+00
1418440570.312,1418.440570312,5.143476675269e-10,2.934754957481e-10,1.752608565209e+00
1418441156.250,1418.441156250,5.078272086411e-10,2.963858621784e-10,1.713398894632e+00
1418441742.188,1418.441742188,5.071674087024e-10,2.954446985341e-10,1.716623825774e+00
1418442328.125,1418.442328125,5.111173931370e-10,2.936467361371e-10,1.740585983896e+00
