# metadata_json,"{""task"":""analyze_sky_vs_50ohm"",""timestamp_utc"":""2026-06-17T00:33:11.287755+00:00"",""center_freq_hz"":1420405800,""ratio"":""sky_psd_linear_per_hz / calibration_psd_linear_per_hz"",""sky_data_dir"":""../data/commiss_21cm_data_061626"",""calibration_data_dir"":""../data/commiss_50ohm_data_061626"",""sky_scan_count"":5,""calibration_scan_count"":5,""sky_source_files"":[""../data/commiss_21cm_data_061626/2026-06-17T00-05-27.194814+00-00_galactic_plane_scan001_fc1420405800.csv"",""../data/commiss_21cm_data_061626/2026-06-17T00-05-47.920266+00-00_galactic_plane_scan002_fc1420405800.csv"",""../data/commiss_21cm_data_061626/2026-06-17T00-06-08.729175+00-00_galactic_plane_scan003_fc1420405800.csv"",""../data/commiss_21cm_data_061626/2026-06-17T00-06-29.397482+00-00_galactic_plane_scan004_fc1420405800.csv"",""../data/commiss_21cm_data_061626/2026-06-17T00-06-50.206207+00-00_galactic_plane_scan005_fc1420405800.csv""],""calibration_source_files"":[""../data/commiss_50ohm_data_061626/2026-06-17T00-02-18.140595+00-00_50ohm_termination_scan001_fc1420405800.csv"",""../data/commiss_50ohm_data_061626/2026-06-17T00-02-38.831015+00-00_50ohm_termination_scan002_fc1420405800.csv"",""../data/commiss_50ohm_data_061626/2026-06-17T00-02-59.565677+00-00_50ohm_termination_scan003_fc1420405800.csv"",""../data/commiss_50ohm_data_061626/2026-06-17T00-03-20.320717+00-00_50ohm_termination_scan004_fc1420405800.csv"",""../data/commiss_50ohm_data_061626/2026-06-17T00-03-41.069643+00-00_50ohm_termination_scan005_fc1420405800.csv""],""sky_observations"":[{""task"":""take_21cm_data"",""timestamp_utc"":""2026-06-17T00:05:27.194880+00:00"",""target_name"":""galactic_plane"",""scan_index"":1,""scan_count"":5,""frequency_index"":3,""frequency_count"":5,""center_freq_hz"":1420405800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}},{""task"":""take_21cm_data"",""timestamp_utc"":""2026-06-17T00:05:47.920328+00:00"",""target_name"":""galactic_plane"",""scan_index"":2,""scan_count"":5,""frequency_index"":3,""frequency_count"":5,""center_freq_hz"":1420405800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}},{""task"":""take_21cm_data"",""timestamp_utc"":""2026-06-17T00:06:08.729241+00:00"",""target_name"":""galactic_plane"",""scan_index"":3,""scan_count"":5,""frequency_index"":3,""frequency_count"":5,""center_freq_hz"":1420405800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}},{""task"":""take_21cm_data"",""timestamp_utc"":""2026-06-17T00:06:29.397547+00:00"",""target_name"":""galactic_plane"",""scan_index"":4,""scan_count"":5,""frequency_index"":3,""frequency_count"":5,""center_freq_hz"":1420405800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}},{""task"":""take_21cm_data"",""timestamp_utc"":""2026-06-17T00:06:50.206271+00:00"",""target_name"":""galactic_plane"",""scan_index"":5,""scan_count"":5,""frequency_index"":3,""frequency_count"":5,""center_freq_hz"":1420405800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}}],""calibration_observations"":[{""task"":""take_50ohm_data"",""timestamp_utc"":""2026-06-17T00:02:18.140657+00:00"",""load_label"":""50ohm_termination"",""scan_index"":1,""scan_count"":5,""frequency_index"":3,""frequency_count"":5,""center_freq_hz"":1420405800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}},{""task"":""take_50ohm_data"",""timestamp_utc"":""2026-06-17T00:02:38.831076+00:00"",""load_label"":""50ohm_termination"",""scan_index"":2,""scan_count"":5,""frequency_index"":3,""frequency_count"":5,""center_freq_hz"":1420405800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}},{""task"":""take_50ohm_data"",""timestamp_utc"":""2026-06-17T00:02:59.565742+00:00"",""load_label"":""50ohm_termination"",""scan_index"":3,""scan_count"":5,""frequency_index"":3,""frequency_count"":5,""center_freq_hz"":1420405800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}},{""task"":""take_50ohm_data"",""timestamp_utc"":""2026-06-17T00:03:20.320776+00:00"",""load_label"":""50ohm_termination"",""scan_index"":4,""scan_count"":5,""frequency_index"":3,""frequency_count"":5,""center_freq_hz"":1420405800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}},{""task"":""take_50ohm_data"",""timestamp_utc"":""2026-06-17T00:03:41.069703+00:00"",""load_label"":""50ohm_termination"",""scan_index"":5,""scan_count"":5,""frequency_index"":3,""frequency_count"":5,""center_freq_hz"":1420405800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}}]}"
frequency_hz,frequency_mhz,sky_psd_linear_per_hz,calibration_psd_linear_per_hz,sky_over_50ohm
1419206000.000,1419.206000000,4.782863061392e-10,3.013456082871e-10,1.587168662779e+00
1419206585.938,1419.206585938,4.807463917409e-10,2.995525097308e-10,1.604881869202e+00
1419207171.875,1419.207171875,4.982799165044e-10,3.007236435057e-10,1.656936284410e+00
1419207757.812,1419.207757812,4.828488831610e-10,3.008604643640e-10,1.604893099469e+00
1419208343.750,1419.208343750,4.753666558091e-10,3.029056946612e-10,1.569355295023e+00
1419208929.688,1419.208929688,4.797445419421e-10,3.017934198927e-10,1.589645467130e+00
1419209515.625,1419.209515625,4.845703372428e-10,2.972115736873e-10,1.630388518290e+00
1419210101.562,1419.210101562,4.830249781746e-10,2.953075837172e-10,1.635667367883e+00
1419210687.500,1419.210687500,5.052968648865e-10,2.968654261018e-10,1.702107488641e+00
1419211273.438,1419.211273438,5.158975522732e-10,2.974525727673e-10,1.734385913941e+00
1419211859.375,1419.211859375,5.138806134942e-10,2.968858109863e-10,1.730903244540e+00
1419212445.312,1419.212445312,5.147457523019e-10,2.983642480295e-10,1.725225980329e+00
1419213031.250,1419.213031250,5.268533781803e-10,2.986744020650e-10,1.763972320821e+00
1419213617.188,1419.213617188,5.299929199661e-10,3.007823523981e-10,1.762047925154e+00
1419214203.125,1419.214203125,5.350523790147e-10,3.009862504077e-10,1.777663857701e+00
1419214789.062,1419.214789062,5.352320552545e-10,2.999098813765e-10,1.784642949402e+00
1419215375.000,1419.215375000,5.336007381052e-10,2.984869117586e-10,1.787685546952e+00
1419215960.938,1419.215960938,5.314378338826e-10,2.972888437839e-10,1.787614453063e+00
1419216546.875,1419.216546875,5.248052164197e-10,2.959734486410e-10,1.773149648489e+00
1419217132.812,1419.217132812,5.121830818818e-10,2.974398976741e-10,1.721971685329e+00
1419217718.750,1419.217718750,4.998831878511e-10,2.974185406231e-10,1.680739831498e+00
1419218304.688,1419.218304688,5.012150202020e-10,2.977657845387e-10,1.683252563684e+00
1419218890.625,1419.218890625,4.923057785519e-10,2.990275606533e-10,1.646355865915e+00
1419219476.562,1419.219476562,4.897188263817e-10,3.016970717561e-10,1.623213720740e+00
1419220062.500,1419.220062500,4.720597790914e-10,3.003829965582e-10,1.571526299758e+00
1419220648.438,1419.220648438,4.660106520618e-10,2.981488210951e-10,1.563013566011e+00
1419221234.375,1419.221234375,4.583713456786e-10,2.975434280719e-10,1.540519139168e+00
1419221820.312,1419.221820312,4.570536008377e-10,2.936884746051e-10,1.556253106127e+00
1419222406.250,1419.222406250,4.534907494569e-10,2.958025327597e-10,1.533086093706e+00
1419222992.188,1419.222992188,4.589294736596e-10,2.977461039918e-10,1.541345016801e+00
1419223578.125,1419.223578125,4.785634145731e-10,2.945160512122e-10,1.624914542360e+00
1419224164.062,1419.224164062,4.756506504087e-10,2.959199213291e-10,1.607362722565e+00
1419224750.000,1419.224750000,4.698536346904e-10,2.955830245156e-10,1.589582606986e+00
1419225335.938,1419.225335938,4.831051105455e-10,2.991351763302e-10,1.615006019928e+00
1419225921.875,1419.225921875,5.032175154426e-10,2.980779338286e-10,1.688207875636e+00
1419226507.812,1419.226507812,5.063467596146e-10,2.947882214774e-10,1.717662792214e+00
1419227093.750,1419.227093750,5.040595651579e-10,2.949207783538e-10,1.709135476895e+00
1419227679.688,1419.227679688,5.156027707540e-10,2.917981825009e-10,1.766984174935e+00
1419228265.625,1419.228265625,5.148619241223e-10,2.921660776482e-10,1.762223486952e+00
1419228851.562,1419.228851562,5.007492322006e-10,2.906384417448e-10,1.722928423352e+00
1419229437.500,1419.229437500,5.060293595776e-10,2.891341288050e-10,1.750154371845e+00
1419230023.438,1419.230023438,5.214834472673e-10,2.966870032964e-10,1.757688882470e+00
1419230609.375,1419.230609375,5.241640353786e-10,2.969257164813e-10,1.765303597109e+00
1419231195.312,1419.231195312,5.205481707900e-10,2.967277985085e-10,1.754295261201e+00
1419231781.250,1419.231781250,5.051410435510e-10,2.931695724260e-10,1.723033667413e+00
1419232367.188,1419.232367188,4.848592028698e-10,2.906937748236e-10,1.667938032605e+00
1419232953.125,1419.232953125,4.782571224106e-10,2.906236442053e-10,1.645623582067e+00
1419233539.062,1419.233539062,4.845138848795e-10,2.909883332384e-10,1.665062923614e+00
1419234125.000,1419.234125000,4.767175087397e-10,2.917037661112e-10,1.634252156203e+00
1419234710.938,1419.234710938,4.595215792630e-10,2.898072948634e-10,1.585610809002e+00
1419235296.875,1419.235296875,4.505892763711e-10,2.917248570159e-10,1.544569362310e+00
1419235882.812,1419.235882812,4.494462993812e-10,2.914359748133e-10,1.542178516805e+00
1419236468.750,1419.236468750,4.372904952898e-10,2.906998387764e-10,1.504268103933e+00
1419237054.688,1419.237054688,4.333502719718e-10,2.900283896785e-10,1.494165010716e+00
1419237640.625,1419.237640625,4.366648790350e-10,2.915516491332e-10,1.497727350654e+00
1419238226.562,1419.238226562,4.392234658953e-10,2.913717469985e-10,1.507433271825e+00
1419238812.500,1419.238812500,4.579899009403e-10,2.919583617183e-10,1.568682254020e+00
1419239398.438,1419.239398438,4.709142998428e-10,2.888651789735e-10,1.630221757832e+00
1419239984.375,1419.239984375,4.729368102713e-10,2.888122718917e-10,1.637523250566e+00
1419240570.312,1419.240570312,4.685051026335e-10,2.930997409337e-10,1.598449391805e+00
1419241156.250,1419.241156250,4.849915045852e-10,2.945852683846e-10,1.646353557476e+00
1419241742.188,1419.241742188,4.956212981376e-10,2.886218660335e-10,1.717199410249e+00
1419242328.125,1419.242328125,5.055294001095e-10,2.872019572798e-10,1.760187865353e+00
