# metadata_json,"{""task"":""analyze_sky_vs_50ohm"",""timestamp_utc"":""2026-06-17T12:49:01.145246+00:00"",""product"":""stitched_sky_over_50ohm"",""ratio"":""sky_psd_linear_per_hz / calibration_psd_linear_per_hz"",""stitch_method"":""mean ratio in uniform frequency bins"",""stitched_bin_width_hz"":585.9370000362396,""center_freqs_hz"":[1418805800,1419605800,1420405800,1421205800,1422005800],""sky_data_dir"":""../data/commiss_21cm_data_061626_3"",""calibration_data_dir"":""../data/commiss_50ohm_data_061626_3"",""sky_scan_count"":100,""calibration_scan_count"":100}"
frequency_hz,frequency_mhz,sky_over_50ohm,n_points_averaged
1417606000.000,1417.606000000,1.663603372234e+00,1
1417606585.938,1417.606585938,1.693454549275e+00,1
1417607171.875,1417.607171875,1.733393046814e+00,1
1417607757.812,1417.607757812,1.716322106024e+00,1
1417608343.750,1417.608343750,1.677991156513e+00,1
1417608929.688,1417.608929688,1.691154447573e+00,1
1417609515.625,1417.609515625,1.680015059137e+00,1
1417610101.562,1417.610101562,1.667578739345e+00,1
1417610687.500,1417.610687500,1.702243017517e+00,1
1417611273.438,1417.611273438,1.721211665515e+00,1
1417611859.375,1417.611859375,1.666640748084e+00,1
1417612445.312,1417.612445312,1.646891516913e+00,1
1417613031.250,1417.613031250,1.610252285727e+00,1
1417613617.188,1417.613617188,1.578412338879e+00,1
1417614203.125,1417.614203125,1.582954369293e+00,1
1417614789.062,1417.614789062,1.607091552089e+00,1
1417615375.000,1417.615375000,1.586732708070e+00,1
1417615960.938,1417.615960938,1.570140179359e+00,1
1417616546.875,1417.616546875,1.573394883288e+00,1
1417617132.812,1417.617132812,1.566716547075e+00,1
1417617718.750,1417.617718750,1.583400479365e+00,1
1417618304.688,1417.618304688,1.596456098635e+00,1
1417618890.625,1417.618890625,1.643113376316e+00,1
1417619476.562,1417.619476562,1.666207657175e+00,1
1417620062.500,1417.620062500,1.647104428598e+00,1
1417620648.438,1417.620648438,1.646192961335e+00,1
1417621234.375,1417.621234375,1.653678144599e+00,1
1417621820.312,1417.621820312,1.695871595373e+00,1
1417622406.250,1417.622406250,1.719736074630e+00,1
1417622992.188,1417.622992188,1.709447265465e+00,1
1417623578.125,1417.623578125,1.719503048427e+00,1
1417624164.062,1417.624164062,1.721066275772e+00,1
1417624750.000,1417.624750000,1.737501809484e+00,1
1417625335.938,1417.625335938,1.694295366992e+00,1
1417625921.875,1417.625921875,1.694211535133e+00,1
1417626507.812,1417.626507812,1.711240462066e+00,1
1417627093.750,1417.627093750,1.687459679707e+00,1
1417627679.688,1417.627679688,1.662769505261e+00,1
1417628265.625,1417.628265625,1.668754475418e+00,1
1417628851.562,1417.628851562,1.690385766612e+00,1
1417629437.500,1417.629437500,1.642231561159e+00,1
1417630023.438,1417.630023438,1.620288272592e+00,1
1417630609.375,1417.630609375,1.598579399274e+00,1
1417631195.312,1417.631195312,1.606839588934e+00,1
1417631781.250,1417.631781250,1.618146296092e+00,1
1417632367.188,1417.632367188,1.605721569823e+00,1
1417632953.125,1417.632953125,1.621903495711e+00,1
1417633539.062,1417.633539062,1.639677450700e+00,1
1417634125.000,1417.634125000,1.645502570373e+00,1
1417634710.938,1417.634710938,1.659165193667e+00,1
1417635296.875,1417.635296875,1.687485042273e+00,1
1417635882.812,1417.635882812,1.692654441814e+00,1
1417636468.750,1417.636468750,1.702682633148e+00,1
1417637054.688,1417.637054688,1.708366424961e+00,1
1417637640.625,1417.637640625,1.700142509685e+00,1
1417638226.562,1417.638226562,1.704061510619e+00,1
1417638812.500,1417.638812500,1.712166012336e+00,1
1417639398.438,1417.639398438,1.715780641582e+00,1
1417639984.375,1417.639984375,1.715815251955e+00,1
1417640570.312,1417.640570312,1.724802460128e+00,1
1417641156.250,1417.641156250,1.705887364000e+00,1
