# metadata_json,"{""task"":""take_21cm_data"",""timestamp_utc"":""2026-05-12T20:30:09.504571+00:00"",""target_name"":""galactic_plane"",""scan_index"":12,""scan_count"":20,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""center_freq_hz"":1420305800,""gain_db"":36.4,""bias_t"":true}}"
frequency_hz,frequency_mhz,psd_linear_per_hz
1419106000.000,1419.106000000,1.084569253665e-09
1419106585.938,1419.106585938,1.152181240568e-09
1419107171.875,1419.107171875,1.142111128224e-09
1419107757.812,1419.107757813,1.077286424778e-09
1419108343.750,1419.108343750,1.119583856503e-09
1419108929.688,1419.108929687,1.149158207701e-09
1419109515.625,1419.109515625,1.155943390119e-09
1419110101.562,1419.110101562,1.128760518749e-09
1419110687.500,1419.110687500,1.131289598171e-09
1419111273.438,1419.111273437,1.069146795578e-09
1419111859.375,1419.111859375,1.048335276124e-09
1419112445.312,1419.112445313,1.061236109699e-09
1419113031.250,1419.113031250,1.026109235995e-09
1419113617.188,1419.113617188,1.024312820168e-09
1419114203.125,1419.114203125,1.043894353023e-09
1419114789.062,1419.114789062,1.011080677200e-09
1419115375.000,1419.115375000,9.682074424578e-10
1419115960.938,1419.115960937,9.988494114689e-10
1419116546.875,1419.116546875,9.750866552552e-10
1419117132.812,1419.117132812,9.613258993002e-10
1419117718.750,1419.117718750,9.669783583445e-10
1419118304.688,1419.118304688,9.553713066174e-10
1419118890.625,1419.118890625,9.842533092613e-10
1419119476.562,1419.119476563,9.876604688663e-10
1419120062.500,1419.120062500,1.012536959975e-09
1419120648.438,1419.120648437,1.027376303455e-09
1419121234.375,1419.121234375,1.072831197376e-09
1419121820.312,1419.121820312,1.079866318937e-09
1419122406.250,1419.122406250,1.064994728173e-09
1419122992.188,1419.122992187,1.090279768194e-09
1419123578.125,1419.123578125,1.110293113872e-09
1419124164.062,1419.124164063,1.118693652753e-09
1419124750.000,1419.124750000,1.063150014614e-09
1419125335.938,1419.125335938,1.052238229323e-09
1419125921.875,1419.125921875,1.033254284597e-09
1419126507.812,1419.126507812,1.019599450975e-09
1419127093.750,1419.127093750,1.016096783677e-09
1419127679.688,1419.127679687,9.961840093185e-10
1419128265.625,1419.128265625,9.728579828797e-10
1419128851.562,1419.128851562,9.499909905860e-10
1419129437.500,1419.129437500,9.531688610425e-10
1419130023.438,1419.130023438,9.302695426737e-10
1419130609.375,1419.130609375,9.231155698316e-10
1419131195.312,1419.131195313,9.197207548960e-10
1419131781.250,1419.131781250,9.166917767019e-10
1419132367.188,1419.132367187,9.248531811418e-10
1419132953.125,1419.132953125,9.207457752990e-10
1419133539.062,1419.133539062,9.723516238244e-10
1419134125.000,1419.134125000,9.717486056681e-10
1419134710.938,1419.134710937,9.349884631520e-10
1419135296.875,1419.135296875,9.752356333173e-10
1419135882.812,1419.135882813,1.028985250110e-09
1419136468.750,1419.136468750,1.052245716006e-09
1419137054.688,1419.137054688,1.043543379270e-09
1419137640.625,1419.137640625,1.080524452801e-09
1419138226.562,1419.138226562,1.071125074699e-09
1419138812.500,1419.138812500,1.049052269029e-09
1419139398.438,1419.139398437,1.069766872180e-09
1419139984.375,1419.139984375,1.041257530835e-09
1419140570.312,1419.140570312,1.056128115182e-09
1419141156.250,1419.141156250,1.053149072991e-09
1419141742.188,1419.141742188,1.014686955941e-09
1419142328.125,1419.142328125,1.016200233751e-09
1419142914.062,1419.142914063,9.933993391035e-10
1419143500.000,1419.143500000,9.585478682701e-10
1419144085.938,1419.144085937,9.498476747261e-10
1419144671.875,1419.144671875,9.401308192095e-10
1419145257.812,1419.145257812,9.093689932975e-10
1419145843.750,1419.145843750,8.671028430900e-10
1419146429.688,1419.146429687,8.988482537860e-10
1419147015.625,1419.147015625,8.829827663436e-10
1419147601.562,1419.147601563,9.059595333594e-10
1419148187.500,1419.148187500,9.165920253620e-10
1419148773.438,1419.148773438,9.110569395737e-10
1419149359.375,1419.149359375,9.163972470156e-10
1419149945.312,1419.149945312,9.369033318700e-10
1419150531.250,1419.150531250,9.643360925616e-10
1419151117.188,1419.151117187,9.821475907571e-10
1419151703.125,1419.151703125,9.785644049346e-10
1419152289.062,1419.152289062,9.893371169530e-10
1419152875.000,1419.152875000,1.026431510354e-09
1419153460.938,1419.153460938,1.022875887148e-09
1419154046.875,1419.154046875,9.980916631259e-10
1419154632.812,1419.154632813,1.002244466882e-09
1419155218.750,1419.155218750,1.024100333431e-09
1419155804.688,1419.155804687,9.668684309461e-10
1419156390.625,1419.156390625,9.671823924739e-10
1419156976.562,1419.156976562,9.735915269018e-10
1419157562.500,1419.157562500,9.667565403920e-10
1419158148.438,1419.158148437,9.554952373066e-10
1419158734.375,1419.158734375,9.107706717431e-10
1419159320.312,1419.159320313,8.948154290687e-10
1419159906.250,1419.159906250,8.777713755212e-10
1419160492.188,1419.160492188,8.717636616311e-10
1419161078.125,1419.161078125,8.942190403794e-10
1419161664.062,1419.161664062,8.784940740323e-10
1419162250.000,1419.162250000,8.846472235187e-10
1419162835.938,1419.162835937,8.772803760001e-10
1419163421.875,1419.163421875,8.932500494953e-10
1419164007.812,1419.164007812,9.330467382010e-10
1419164593.750,1419.164593750,9.725680244746e-10
1419165179.688,1419.165179688,9.849956931642e-10
1419165765.625,1419.165765625,9.682062888158e-10
1419166351.562,1419.166351563,9.725421900791e-10
1419166937.500,1419.166937500,9.952655584956e-10
1419167523.438,1419.167523437,1.010132703438e-09
1419168109.375,1419.168109375,1.012529202780e-09
1419168695.312,1419.168695312,9.976811350417e-10
1419169281.250,1419.169281250,9.864491772683e-10
1419169867.188,1419.169867187,9.887636362506e-10
