# metadata_json,"{""task"":""take_21cm_data"",""timestamp_utc"":""2026-05-12T20:30:29.838442+00:00"",""target_name"":""galactic_plane"",""scan_index"":17,""scan_count"":20,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""center_freq_hz"":1420305800,""gain_db"":36.4,""bias_t"":true}}"
frequency_hz,frequency_mhz,psd_linear_per_hz
1419106000.000,1419.106000000,1.148003134086e-09
1419106585.938,1419.106585938,1.168887429244e-09
1419107171.875,1419.107171875,1.164712391506e-09
1419107757.812,1419.107757813,1.197943477839e-09
1419108343.750,1419.108343750,1.217202127813e-09
1419108929.688,1419.108929687,1.212688163791e-09
1419109515.625,1419.109515625,1.239016356177e-09
1419110101.562,1419.110101562,1.196484378810e-09
1419110687.500,1419.110687500,1.176581108522e-09
1419111273.438,1419.111273437,1.141329364182e-09
1419111859.375,1419.111859375,1.147108222158e-09
1419112445.312,1419.112445313,1.143420366104e-09
1419113031.250,1419.113031250,1.127581338053e-09
1419113617.188,1419.113617188,1.061839962153e-09
1419114203.125,1419.114203125,1.102768306986e-09
1419114789.062,1419.114789062,1.065247230644e-09
1419115375.000,1419.115375000,9.957546995716e-10
1419115960.938,1419.115960937,9.779392165503e-10
1419116546.875,1419.116546875,9.817174547263e-10
1419117132.812,1419.117132812,9.621879182088e-10
1419117718.750,1419.117718750,9.919435752100e-10
1419118304.688,1419.118304688,1.005238792853e-09
1419118890.625,1419.118890625,9.993627076260e-10
1419119476.562,1419.119476563,1.025740518829e-09
1419120062.500,1419.120062500,1.055393875707e-09
1419120648.438,1419.120648437,1.060872905263e-09
1419121234.375,1419.121234375,1.099734730375e-09
1419121820.312,1419.121820312,1.140255900970e-09
1419122406.250,1419.122406250,1.111764982957e-09
1419122992.188,1419.122992187,1.145165867752e-09
1419123578.125,1419.123578125,1.158760726814e-09
1419124164.062,1419.124164063,1.161964695819e-09
1419124750.000,1419.124750000,1.140986015716e-09
1419125335.938,1419.125335938,1.112053302548e-09
1419125921.875,1419.125921875,1.127904472516e-09
1419126507.812,1419.126507812,1.115471640389e-09
1419127093.750,1419.127093750,1.084864944164e-09
1419127679.688,1419.127679687,1.060185644428e-09
1419128265.625,1419.128265625,1.059375547092e-09
1419128851.562,1419.128851562,9.900518578803e-10
1419129437.500,1419.129437500,1.003247573743e-09
1419130023.438,1419.130023438,1.014903398440e-09
1419130609.375,1419.130609375,9.681659040800e-10
1419131195.312,1419.131195313,9.670444515807e-10
1419131781.250,1419.131781250,9.630046679118e-10
1419132367.188,1419.132367187,9.390285118241e-10
1419132953.125,1419.132953125,9.359281740486e-10
1419133539.062,1419.133539062,9.724266715713e-10
1419134125.000,1419.134125000,1.010788143910e-09
1419134710.938,1419.134710937,1.009697219648e-09
1419135296.875,1419.135296875,1.008946500050e-09
1419135882.812,1419.135882813,1.044785340915e-09
1419136468.750,1419.136468750,1.043800966624e-09
1419137054.688,1419.137054688,1.063857407153e-09
1419137640.625,1419.137640625,1.115562064768e-09
1419138226.562,1419.138226562,1.143872344702e-09
1419138812.500,1419.138812500,1.126292621998e-09
1419139398.438,1419.139398437,1.103155632597e-09
1419139984.375,1419.139984375,1.117500375639e-09
1419140570.312,1419.140570312,1.104717959269e-09
1419141156.250,1419.141156250,1.065267714776e-09
1419141742.188,1419.141742188,1.056658604246e-09
1419142328.125,1419.142328125,1.025867775924e-09
1419142914.062,1419.142914063,1.072038525500e-09
1419143500.000,1419.143500000,1.040263794561e-09
1419144085.938,1419.144085937,1.007479170461e-09
1419144671.875,1419.144671875,9.978554179190e-10
1419145257.812,1419.145257812,9.758574877820e-10
1419145843.750,1419.145843750,9.686334515456e-10
1419146429.688,1419.146429687,9.343013693220e-10
1419147015.625,1419.147015625,9.277929010333e-10
1419147601.562,1419.147601563,9.431775615522e-10
1419148187.500,1419.148187500,9.498719925532e-10
1419148773.438,1419.148773438,9.315066365432e-10
1419149359.375,1419.149359375,9.352209759291e-10
1419149945.312,1419.149945312,9.707168310849e-10
1419150531.250,1419.150531250,1.005956894234e-09
1419151117.188,1419.151117187,1.008434878736e-09
1419151703.125,1419.151703125,1.020888352033e-09
1419152289.062,1419.152289062,1.028175131092e-09
1419152875.000,1419.152875000,1.032057230887e-09
1419153460.938,1419.153460938,1.039759887032e-09
1419154046.875,1419.154046875,1.070966417410e-09
1419154632.812,1419.154632813,1.074445558744e-09
1419155218.750,1419.155218750,1.072268866481e-09
1419155804.688,1419.155804687,1.082027310116e-09
1419156390.625,1419.156390625,1.024855967326e-09
1419156976.562,1419.156976562,1.034394832352e-09
1419157562.500,1419.157562500,1.031221077455e-09
1419158148.438,1419.158148437,1.016892182715e-09
1419158734.375,1419.158734375,9.809350744168e-10
1419159320.312,1419.159320313,9.426714653528e-10
1419159906.250,1419.159906250,9.414190961589e-10
1419160492.188,1419.160492188,9.385518200161e-10
1419161078.125,1419.161078125,9.363590873171e-10
